Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
n259,3,3,2,4,4
n138,3,6,1,1,22
iXMIT_bitCountH_0_,3,3,2,4,17
n139,3,4,1,1,26
xmit_dataH[3],0,0,0,0,0
iXMIT_state_2_,3,3,2,4,10
rec_dataH[5],3,3,1,1,18
n21,4,9,1,1,20
n370,2,1,1,1,1
iRECEIVER_bitCell_cntrH_1_,3,3,2,4,6
n250,3,3,2,4,16
n20,4,9,1,1,24
n371,1,2,1,1,2
n23,4,9,1,1,12
iRECEIVER_state_CTRL,4,11,1,1,16
n22,4,9,1,1,16
n242,3,3,2,4,10
n25,4,9,1,1,4
n121,3,5,1,1,4
n243,3,3,2,4,22
n24,4,9,1,1,8
n122,3,5,1,1,3
n27,4,6,1,1,1
n241,3,3,2,4,10
n26,1,3,1,1,12
iXMIT_xmit_CTRL,4,11,1,1,5
test_point_TM,1,0,1,1,1
n120,3,6,1,1,3
n246,3,3,2,4,5
n29,2,4,1,1,12
n125,3,4,1,1,5
n247,3,3,2,4,5
n28,1,3,1,1,7
n126,3,4,1,1,5
n123,1,4,1,1,29
n244,3,3,2,4,5
n245,3,3,2,4,10
n124,3,5,1,1,4
n129,3,6,1,1,7
n248,3,3,2,4,4
n127,3,4,1,1,4
n249,3,3,2,4,11
n128,3,4,1,1,5
iRECEIVER_N28,2,5,1,1,23
iRECEIVER_N27,2,5,1,1,23
iRECEIVER_N26,2,6,1,1,23
xmit_dataH[6],0,0,0,0,0
iRECEIVER_N23,2,4,1,1,9
iRECEIVER_N22,2,4,1,1,10
iRECEIVER_N21,2,4,1,1,6
iRECEIVER_N20,2,5,1,1,2
n161,3,5,1,1,4
n31,4,6,1,1,1
n162,3,5,1,1,4
n281,3,3,2,4,4
n33,4,6,1,1,1
n160,3,5,1,1,4
n275,2,5,1,1,12
n154,3,4,1,1,11
n35,4,6,1,1,1
n155,3,6,1,1,8
n273,2,5,1,1,8
n152,3,6,1,1,12
n37,4,6,1,1,1
n274,2,6,1,1,11
n153,3,4,1,1,10
n158,1,4,1,1,9
n39,4,6,1,1,1
n159,3,5,1,1,16
n156,3,4,1,1,6
n157,3,6,1,1,19
iXMIT_bitCountH_2_,3,3,2,4,17
iRECEIVER_N19,2,5,1,1,13
xmit_dataH[5],0,0,0,0,0
iRECEIVER_N18,2,5,1,1,20
iRECEIVER_N17,2,6,1,1,16
n41,4,6,1,1,1
iRECEIVER_bitCell_cntrH_3_,3,3,2,4,12
n43,2,1,1,1,1
n271,2,5,1,1,19
n150,3,6,1,1,14
rec_dataH[7],3,3,1,1,12
iRECEIVER_rec_readyInH,3,9,1,1,18
n151,1,4,1,1,13
n42,3,8,1,1,5
n272,2,6,1,1,7
n45,4,9,1,1,14
n44,3,7,1,1,11
n270,2,6,1,1,18
n47,2,3,1,1,8
n143,3,6,1,1,15
n144,1,4,1,1,17
n46,2,3,1,1,13
n262,3,3,2,4,4
n49,4,9,1,1,20
n141,3,6,1,1,22
n263,3,3,2,4,4
n48,4,9,1,1,20
n142,3,4,1,1,22
n268,2,6,1,1,9
n147,3,6,1,1,17
n269,2,5,1,1,10
n148,3,6,1,1,16
n145,3,6,1,1,20
n146,3,4,1,1,18
iXMIT_bitCountH_1_,3,3,1,1,17
n149,3,4,1,1,14
n1,1,3,1,1,6
n2,3,9,1,1,6
n3,3,9,1,1,5
rec_dataH_temp[7],3,6,1,1,9
rec_dataH[2],3,3,1,1,12
n50,4,10,1,1,17
n7,4,10,1,1,14
n180,3,4,1,1,9
n8,2,6,1,1,18
n52,1,2,1,1,7
n9,3,9,1,1,18
n51,1,3,1,1,12
n54,2,6,1,1,6
iRECEIVER_N_CTRL_1_,4,8,1,1,24
n53,2,6,1,1,8
n56,3,8,1,1,11
n181,3,5,1,1,9
n55,3,7,1,1,11
n182,3,3,1,1,4
n58,1,0,1,1,1
n176,3,4,1,1,4
iXMIT_xmit_ShiftRegH_3_,3,3,2,4,4
n57,2,6,1,1,15
n177,3,4,1,1,4
n174,3,5,1,1,3
n175,3,4,1,1,16
n178,3,4,1,1,4
n179,3,5,1,1,4
iXMIT_N_CTRL_2_,4,8,1,1,11
iRECEIVER_rec_datSyncH,3,3,1,1,2
rec_dataH_temp[6],3,6,1,1,13
xmitH,0,0,0,0,0
xmit_dataH[7],0,0,0,0,0
rec_dataH[1],3,3,1,1,10
n61,2,6,1,1,7
n60,4,9,1,1,7
n63,3,6,1,1,11
n62,2,5,1,1,11
n65,1,2,1,1,8
n172,3,6,1,1,3
n64,3,6,1,1,6
n173,3,6,1,1,3
n67,4,10,1,1,7
n170,3,6,1,1,3
iXMIT_xmit_ShiftRegH_1_,3,3,2,4,4
n66,2,6,1,1,6
iRECEIVER_N_CTRL_2_,4,8,1,1,11
n171,3,6,1,1,3
iXMIT_xmit_ShiftRegH_2_,3,3,2,4,4
n165,1,4,1,1,5
n69,4,12,1,1,18
n68,3,6,1,1,7
n166,3,7,1,1,9
n163,3,2,1,1,1
iCTRL,2,8,1,1,2
n164,3,7,1,1,9
n169,3,6,1,1,3
n167,3,5,1,1,5
uart_REC_dataH,0,0,0,0,0
n168,3,6,1,1,3
iXMIT_bitCountH_3_,3,3,2,4,17
sys_rst_l,0,0,0,0,0
rec_dataH_temp[5],3,6,1,1,17
iXMIT_xmit_doneInH,2,6,1,1,12
n72,1,2,1,1,12
n71,3,8,1,1,11
rec_dataH[4],3,3,1,1,16
n74,1,2,1,1,16
iXMIT_state_1_,2,5,1,1,3
n73,4,6,1,1,7
n75,3,9,1,1,6
iRECEIVER_bitCell_cntrH_0_,3,3,2,4,2
n77,3,9,1,1,11
n199,3,8,1,1,2
n79,1,4,1,1,14
n196,3,8,1,1,2
iXMIT_xmit_ShiftRegH_5_,3,3,2,4,4
rec_dataH_temp[4],3,6,1,1,21
n81,2,6,1,1,14
n80,2,6,1,1,22
n190,3,8,1,1,2
n83,2,6,1,1,26
rec_dataH[3],3,3,1,1,14
n82,3,9,1,1,11
n85,4,12,1,1,6
iXMIT_state_0_,3,3,2,4,10
n84,3,10,1,1,11
iXMIT_state_1_temp,3,3,2,4,12
n87,4,10,1,1,8
n86,4,10,1,1,14
n89,2,6,1,1,7
n193,3,8,1,1,2
n88,1,4,1,1,7
iXMIT_xmit_ShiftRegH_4_,3,3,2,4,4
xmit_doneH,3,3,1,1,6
iXMIT_N_CTRL_1_,4,12,1,1,6
rec_dataH_temp[3],3,6,1,1,21
