Netlist,LOFi1,LOFi2,PI
n4464,4,8,8
g18794,4,13,14
n3134,5,10,14
n4465,4,8,8
n3131,3,13,16
n4462,4,5,4
n3132,5,10,15
n4463,4,8,8
n4460,4,5,6
n3130,2,10,28
n4461,4,4,5
n3139,2,5,16
n3137,2,12,13
n4468,4,6,16
n3138,2,10,4
n4469,4,6,16
g1491,4,8,3
g1496,4,8,3
n3124,2,10,13
n4455,4,8,7
n3125,3,6,14
n4456,4,5,6
n3122,2,4,13
n4453,4,4,3
n3123,2,4,4
n4454,4,8,13
n3120,2,10,3
n4451,4,8,13
n3121,2,5,13
n4452,4,8,13
n4450,4,8,13
n3128,2,2,14
n4459,4,8,7
n3129,3,9,11
n3126,2,5,29
n4457,4,8,7
n3127,2,8,29
n4458,4,5,6
DFF_999_n1,4,8,5
g2790,4,8,14
n4480,4,7,17
n3150,2,4,14
n4481,4,6,21
g1462,4,7,12
g2794,4,8,12
g2793,4,8,14
g2792,4,8,13
g2791,4,8,12
g1466,4,6,7
g2798,4,8,13
n3157,2,2,24
n4488,4,10,9
g2797,4,8,12
n3158,2,6,29
n4489,4,8,5
n3155,5,16,10
n4486,4,8,3
g2795,4,8,13
n3156,3,13,6
n4487,4,10,4
n3153,3,6,15
n4484,4,8,13
n3154,6,18,10
n4485,4,8,11
n3151,2,4,14
n4482,4,6,19
g2799,4,8,14
n3152,2,10,13
n4483,4,8,13
n3159,2,6,28
g30468,4,8,11
n4470,4,6,16
g1471,4,8,3
n3146,2,5,14
n4477,4,3,4
n3147,2,12,13
n4478,4,7,20
n3144,3,6,15
n4475,4,7,20
g1476,4,8,3
n3145,5,9,15
n4476,4,7,20
n3142,3,13,16
n4473,4,7,20
n3143,5,9,15
n4474,4,7,20
n3140,2,4,14
n4471,4,3,4
n3141,2,4,17
n4472,4,7,20
g28148,3,6,30
n3148,2,10,13
n4479,4,6,40
n3149,2,5,14
g28145,3,6,4
g30455,4,8,3
g28147,3,6,10
g28146,3,6,17
n3171,2,6,34
n3172,2,6,3
n3170,2,6,35
g2772,4,8,14
g1444,4,7,11
g2776,4,8,12
n3179,2,6,15
g2775,4,8,14
g2774,4,8,13
n3177,3,9,11
g2773,4,8,12
n3178,2,4,14
g1448,4,6,7
g2779,4,8,12
n3176,2,6,15
g2778,4,8,14
n3173,5,16,12
g2777,4,8,13
n3174,3,13,14
g8087,4,5,6
g8082,4,8,7
n3160,2,6,29
n4491,4,8,14
n3161,2,2,4
n4492,4,8,19
n4490,4,8,8
g2783,4,8,13
g2782,4,8,12
g2780,4,8,13
g2787,4,8,14
n3168,2,6,16
n4499,4,5,8
g2786,4,8,13
n3169,2,2,18
g1453,4,7,12
g2785,4,4,1
n3166,2,6,16
n4497,2,8,9
g2784,4,8,14
n3167,2,6,15
n4498,1,2,14
n3164,2,6,9
n4495,2,8,12
n3165,2,2,30
n4496,2,5,2
g1457,4,6,7
g2789,4,8,13
n3162,2,6,9
n4493,4,8,13
g2788,4,8,12
n3163,2,6,8
n4494,4,5,12
g8096,4,8,8
n3193,3,7,15
n3194,5,8,14
n3191,2,4,12
n3192,6,15,12
n3190,3,9,9
g1422,4,8,13
g1423,4,7,21
g2753,4,3,20
g23329,2,3,15
g1420,4,8,14
n3199,6,15,10
g1421,4,8,12
DFF_1349_n1,4,8,2
g1426,4,6,7
n3197,3,16,11
n3198,4,14,4
g1424,4,7,21
n3195,2,7,13
g1425,4,7,21
n3196,3,6,12
g23324,2,3,15
DFF_299_n1,4,8,5
n3182,3,9,7
n3183,2,4,10
n3180,2,9,13
n3181,2,6,11
g1430,4,6,7
g2760,4,6,16
g23339,2,3,15
n3188,2,9,9
n3189,2,3,13
n3186,2,10,13
n3187,2,6,11
g1435,4,7,11
n3184,2,6,15
g2766,4,6,16
n3185,2,5,13
g1439,4,6,7
g23330,3,5,16
g1400,4,8,12
g1404,4,8,13
g1405,4,8,14
g1402,4,8,14
g2734,4,6,16
g1403,4,8,12
g2733,4,8,12
g1408,4,8,14
g1409,4,8,12
g1406,4,8,12
g1407,4,8,13
g28199,2,3,15
g1411,4,8,14
g25938,3,5,11
g1412,4,8,12
g1410,4,8,13
g1415,4,8,16
g1416,4,8,16
g2746,4,7,20
g25935,3,6,17
g1413,4,8,13
g1419,4,8,16
g1417,4,8,16
g25932,3,5,25
g1418,4,4,1
g8012,4,5,6
g2714,4,6,16
g25940,3,5,31
g8021,4,5,2
g8023,4,8,3
g2720,4,7,20
g2727,4,6,16
g8030,1,4,11
g2813,4,7,13
g2812,4,7,13
g2810,4,8,13
g27621,2,3,26
DFF_1100_n1,4,1,6
n3913,3,10,18
n3914,4,13,29
n3911,3,10,18
n3912,3,8,25
n3910,3,7,28
n3919,5,16,12
n3917,3,10,26
n3918,3,8,18
n3915,2,5,28
n3916,2,5,22
g8106,1,4,9
g2802,4,8,16
g2801,4,8,13
g2800,4,4,1
g2806,4,8,16
n3902,3,10,31
g2805,4,8,16
n3903,2,4,13
g2804,4,8,16
n3900,5,17,29
g2803,4,8,16
n3901,5,17,32
g2809,4,8,12
g2808,4,8,14
g2807,4,8,16
n3908,3,10,18
n3909,4,14,29
n3906,2,3,29
n3907,2,4,28
n3904,4,12,14
g18707,4,13,13
n3905,2,4,13
test_si100,0,0,0
n2603,3,5,12
n3935,2,8,4
DFF_1353_n1,4,8,5
n2602,3,13,13
n3936,2,6,28
g24557,4,11,14
n2605,3,7,15
n3933,2,8,24
n2604,4,13,16
n3934,3,12,26
n3931,6,16,32
n3932,2,6,12
n2601,2,2,7
n2600,2,4,14
n3930,5,18,30
n2607,2,3,6
n3939,2,6,27
n2606,6,24,5
n2609,2,6,5
n3937,4,14,29
n2608,2,5,3
n3938,2,7,26
n3924,4,14,29
n3925,6,19,29
n3922,5,18,30
n3923,6,17,11
n3920,5,20,26
n3921,5,17,29
n3928,5,20,26
n3929,5,17,29
n3926,3,8,12
n3927,5,16,25
DFF_309_n1,4,8,6
n3950,2,5,11
g27603,2,3,32
n2625,4,13,16
n3957,4,8,18
n2624,3,5,11
n3958,4,8,22
n2627,6,15,8
n3955,2,8,9
n2626,3,7,15
n3956,6,24,17
n2621,2,4,13
n3953,2,5,11
n2620,3,5,31
n3954,2,5,9
n2623,3,13,12
n3951,2,5,10
n2622,2,2,10
n3952,3,14,11
g608,4,8,12
g605,4,4,1
n2629,2,5,29
n2628,2,3,32
g602,4,8,14
n3959,2,5,21
g6368,4,5,6
n2614,2,6,3
n3946,4,17,18
n2613,2,5,3
n3947,5,16,7
n2616,2,10,9
n3944,3,12,25
n2615,2,4,12
n3945,2,9,8
n2610,2,10,11
n3942,2,6,25
n3943,3,8,18
g27612,2,3,6
n2612,3,4,4
n3940,2,6,20
n2611,2,2,15
n3941,6,19,29
n2618,6,15,8
n2617,2,10,13
n3948,2,6,6
n2619,4,8,32
n3949,3,14,11
g17429,4,13,14
DFF_1148_n1,4,8,6
g18755,4,13,6
g18754,4,10,2
n3971,2,5,10
n3972,3,14,11
n2641,2,4,14
n2640,3,5,31
n3970,2,5,12
n2647,6,21,10
n3979,2,5,21
n2646,3,7,15
n2649,2,5,29
n3977,4,8,18
n2648,2,3,32
n3978,4,8,22
n2643,3,13,13
n3975,2,8,9
n2642,2,2,12
n3976,6,24,17
n2645,4,13,16
n3973,2,5,11
n2644,3,5,12
n3974,2,5,9
g25042,2,3,32
g629,4,8,10
g611,4,8,14
n3960,2,5,17
g18763,4,13,14
n3961,2,5,17
n2630,2,6,31
n3968,2,4,13
n2635,2,6,29
n3969,2,5,12
n2638,6,21,10
n3966,2,5,21
n2637,2,10,14
n3967,2,5,17
n2632,2,2,14
n3964,2,5,12
n2631,2,10,10
n3965,2,5,17
n2634,2,5,29
n3962,2,4,13
n2633,3,4,30
n3963,2,5,12
g617,4,8,12
g25056,2,3,6
g614,4,8,10
n2639,4,8,32
g6313,4,5,8
g640,4,6,16
n2661,3,10,14
n3993,2,5,11
n2660,2,9,15
n3994,3,5,14
n2663,3,5,14
n3991,2,5,10
n2662,2,4,17
n3992,3,14,11
n3990,2,5,12
n2669,2,5,15
n2668,2,5,17
n3999,4,8,18
n2665,5,13,18
n3997,2,8,9
n2664,5,15,19
n3998,6,24,17
n2667,2,8,13
n3995,2,5,13
n2666,6,15,10
n3996,2,5,9
g25067,2,3,26
g646,4,7,20
g633,4,7,20
g630,4,8,12
n2650,2,6,31
n3982,2,4,13
n3983,2,5,12
n2652,2,2,15
n3980,2,5,17
n2651,2,10,11
n3981,2,5,17
g18782,4,13,11
g18781,4,10,2
g18780,4,13,13
n2658,5,13,19
n2657,5,15,19
n3988,2,4,13
n2659,2,4,18
n3989,2,5,12
n2654,2,5,29
n3986,2,5,21
n2653,3,4,30
n3987,2,5,17
n2656,5,13,19
n3984,2,5,12
n2655,2,6,29
n3985,2,5,17
DFF_792_n1,4,5,16
test_so3,0,0,0
test_so4,0,0,0
test_so1,4,6,3
test_so2,4,4,1
test_so7,4,8,12
test_so8,4,8,14
test_so5,0,0,0
g660,4,6,16
test_so6,4,8,12
n2683,2,5,17
n2682,2,8,13
n2685,3,7,10
n2684,2,5,11
n2681,6,18,10
n2680,5,13,19
n2687,2,2,8
n2686,2,8,13
n2689,2,9,14
n2688,2,4,17
test_so9,4,9,28
g28990,3,13,14
g18719,4,13,11
g653,4,6,16
g18726,4,13,14
n2672,2,2,12
n2671,2,8,13
n2674,2,9,15
n2673,2,4,18
n2670,3,7,14
n2679,5,13,19
n2676,2,4,17
n2675,3,10,10
g27678,3,6,19
n2678,5,15,18
n2677,3,5,14
g27672,3,6,3
g659,4,8,12
g686,4,6,16
n4400,4,6,16
n4401,4,6,16
n4408,4,7,20
n4409,4,7,20
n4406,4,8,25
n4407,4,7,20
n4404,4,6,16
n4405,4,8,30
n4402,4,6,16
g25027,2,3,20
n4403,4,6,16
g27682,3,6,19
g672,4,7,20
g18743,4,13,13
n2694,5,13,19
n2693,5,15,19
n2696,6,21,9
n2695,5,13,19
n2690,3,9,14
n2692,3,6,13
n2691,2,4,16
n2698,2,5,16
n2697,2,8,12
n2699,2,5,14
g4590,4,8,3
g679,4,3,20
g3102,4,4,14
g3100,4,8,10
g3106,4,8,10
n4301,4,8,17
g3105,4,8,14
n4302,4,8,27
g16297,4,5,14
g3104,4,8,12
g3103,4,8,10
g20314,4,16,14
n4300,4,5,12
g3109,4,5,12
g3108,4,8,14
g3107,4,8,12
n4309,4,5,8
n4307,4,5,8
n4308,4,1,8
n4305,4,7,20
n4306,4,5,8
n4303,4,8,15
g20310,4,10,2
n4304,4,8,15
DFF_1013_n1,4,8,2
DFF_15_n1,4,6,3
g699,4,8,12
g698,4,8,14
g3112,4,9,25
g3111,4,9,24
g3110,4,9,10
g692,4,6,16
g3117,4,5,10
n2594,2,4,10
n2597,6,24,5
n2596,2,10,14
DFF_1495_n1,4,8,6
n2591,3,6,13
n2590,6,21,12
n2593,2,4,7
n2592,2,4,11
n2599,3,5,5
n2598,4,8,6
g1386,4,4,1
g1384,4,8,14
g5747,4,1,1
g1389,4,8,13
n4323,4,5,6
n4324,4,5,6
g1387,4,8,14
n4321,4,8,4
g1388,4,8,12
n4322,4,8,4
n4320,4,8,3
n4329,4,8,29
g20333,4,16,14
n4327,4,8,4
n4328,4,8,4
n4325,4,8,3
DFF_1001_n1,4,8,5
n4326,4,8,3
g1392,4,8,13
g1393,4,8,14
g1390,4,8,14
g1391,4,8,12
g1396,4,8,14
g1397,4,8,12
g1394,4,8,12
g1395,4,8,13
n4312,4,5,8
n4313,4,5,12
g1398,4,8,13
n4310,4,8,15
g1399,4,4,1
n4311,4,8,14
n4318,4,5,6
n4319,4,8,3
n4316,4,5,10
n4317,4,5,6
n4314,4,5,8
g20343,4,10,2
n4315,4,5,10
g2691,4,8,12
g2694,4,8,14
n3014,2,9,11
n4345,4,8,15
n3015,5,14,10
n4346,4,8,15
g1365,4,7,20
n3012,6,15,6
n4343,4,4,3
n3013,2,8,14
n4344,4,8,15
n3010,2,2,8
n4341,4,8,15
n3011,2,10,11
n4342,4,8,17
n4340,4,8,15
n3018,2,2,10
n4349,4,7,11
n3019,2,10,28
n3016,4,10,11
n4347,4,8,15
n3017,3,9,9
n4348,4,8,13
g30566,4,8,13
g29580,2,3,10
g1372,4,6,16
g1378,4,6,16
n3003,2,10,28
n4334,4,8,15
n3004,6,15,10
n4335,4,8,13
g5738,4,4,1
n3001,3,9,11
n4332,4,8,17
n3002,2,2,12
n4333,4,8,10
n4330,4,6,10
n3000,4,10,12
n4331,4,8,22
n3009,3,9,7
n3007,5,14,8
n4338,4,8,17
n3008,4,10,12
n4339,4,8,18
n3005,2,8,12
n4336,4,8,15
g29579,2,3,20
n3006,2,9,9
n4337,4,8,13
n4360,4,8,14
g2673,4,8,12
g2670,4,8,10
g1345,4,8,12
n3036,2,2,13
n4367,4,1,10
g1346,4,6,16
g2676,4,8,14
n3037,3,9,10
n4368,4,5,10
n3034,4,10,11
n4365,4,7,3
n3035,2,8,29
n4366,4,5,12
n3032,2,8,12
n4363,4,5,6
n3033,3,9,10
n4364,4,5,8
g2679,4,8,10
n3030,4,10,28
n4361,4,5,5
n3031,2,8,29
n4362,4,5,10
n3038,2,10,28
n4369,4,5,10
n3039,3,13,16
g29581,2,3,6
g29582,2,3,26
g1352,4,6,16
g2688,4,8,10
n3025,2,2,12
n4356,4,8,9
n3026,2,10,28
n4357,4,8,9
n3023,4,10,12
n4354,4,7,11
g2685,4,4,1
DFF_448_n1,4,8,7
n3024,3,9,11
n4355,4,6,25
n3021,2,9,13
n4352,4,8,14
n3022,5,14,12
n4353,4,8,14
g1358,4,7,20
n4350,4,6,25
n3020,6,15,8
n4351,4,7,4
n3029,3,9,14
n3027,6,15,10
n4358,4,8,9
n3028,2,8,29
n4359,4,8,9
DFF_140_n1,4,8,17
n3050,3,13,16
n4381,4,5,10
n3051,5,9,15
n4382,4,5,8
n4380,4,4,4
g2651,4,8,15
g2650,4,8,13
DFF_1561_n1,4,2,8
g2655,4,4,1
n3058,2,4,14
n4389,4,8,3
g2654,4,8,15
n3059,2,4,14
g2653,4,8,13
n3056,2,10,13
n4387,4,8,27
g2652,4,8,17
n3057,2,5,14
n4388,4,8,27
g2659,4,8,13
n3054,2,5,14
n4385,4,8,27
g2658,4,8,17
n3055,2,12,13
n4386,4,8,10
n3052,3,6,15
n4383,4,5,10
g1326,4,6,16
g2656,4,8,13
n3053,5,9,15
n4384,4,1,31
n4370,4,5,10
n3040,5,10,15
n4371,4,5,8
g3993,4,8,3
g2661,4,8,10
g2660,4,8,15
n3047,2,5,15
n4378,4,8,3
n3048,2,4,14
n4379,4,8,4
g1332,4,7,20
g2664,4,8,12
n3045,2,12,13
n4376,4,8,4
g22106,4,13,33
n3046,2,10,13
n4377,4,8,3
n3043,2,10,13
n4374,4,8,3
g1339,4,6,16
n3044,2,5,14
n4375,4,8,4
n3041,3,5,15
n4372,4,5,10
g2667,4,8,14
n3042,5,10,14
n4373,4,8,3
g22101,4,11,33
g22100,4,11,12
g22105,4,11,33
g22104,4,11,33
g22103,4,13,21
n3049,2,4,16
g22102,4,13,33
n3072,5,10,15
n3073,3,5,15
n3070,2,10,2
n3071,3,13,16
DFF_659_n1,4,8,2
g2633,4,8,12
g2632,4,10,11
g2631,4,8,14
n3078,2,10,13
g1300,4,8,10
g22117,4,11,27
n3079,2,5,15
g2637,0,0,0
n3076,2,5,14
g1306,4,8,14
n3077,2,12,13
g1303,4,8,12
n3074,5,10,14
n3075,2,10,13
g22112,4,11,7
g2639,4,8,10
g2638,4,8,2
g22116,4,11,33
g22115,4,11,2
g22114,4,11,3
g22113,4,11,7
n3061,3,6,15
n4392,4,8,4
n3062,6,15,10
n4393,4,6,16
n4390,4,8,3
n3060,2,10,13
n4391,4,8,4
g2640,4,8,10
n3069,3,9,6
g2643,4,8,3
g2642,4,8,11
g22129,4,13,33
n3067,2,8,12
n4398,4,6,16
g2641,4,8,11
g22128,4,13,33
n3068,2,2,9
n4399,4,6,16
g1316,4,8,12
g2648,4,8,9
n3065,3,9,13
n4396,4,6,16
g2647,4,8,12
n3066,4,10,28
n4397,4,6,16
g2646,4,8,11
n3063,2,8,12
n4394,4,6,16
g1315,4,8,10
g2645,4,4,1
n3064,2,5,29
n4395,4,6,16
g22123,4,11,21
g22122,4,11,33
g1319,4,7,20
g2649,4,8,17
g22127,4,11,33
g22126,4,11,2
g22125,4,13,2
g22124,4,13,33
n3094,6,18,10
n3095,2,5,29
n3092,2,10,13
n3093,3,6,15
n3090,2,4,14
n3091,2,4,14
g2611,4,4,1
n3098,4,10,28
n3099,2,5,29
n3096,2,8,29
g2612,4,8,8
n3097,3,9,15
g2619,4,5,8
g2617,4,6,1
g20353,4,16,14
n3083,5,9,5
n3084,3,6,15
n3081,2,4,16
n3082,3,13,6
n3080,2,4,14
n3089,2,5,14
n3087,2,12,13
g2625,4,5,10
n3088,2,10,13
g2624,4,5,12
n3085,5,9,5
g2623,4,10,11
n3086,2,5,4
g2628,4,8,14
g23407,4,13,2
g23406,4,13,10
g24734,3,6,16
g20375,4,16,14
g20376,4,10,2
g23400,4,13,12
g23418,4,13,3
g2602,4,10,13
g23413,4,13,10
g2609,4,8,14
g22057,4,11,7
g22056,4,11,33
g22055,4,11,33
g22054,4,11,33
g23385,4,13,10
g22059,4,11,7
g22058,4,11,7
DFF_663_n1,4,8,6
g18804,4,13,6
g18803,4,10,2
g8007,4,8,7
g13111,6,24,8
test_se,0,0,0
g13110,4,13,24
g2703,4,8,10
g2707,4,7,20
g22068,4,11,33
g23399,4,13,8
g22067,4,11,2
g22066,4,11,33
g27759,4,10,15
DFF_1626_n1,4,8,18
g2704,4,8,12
g22065,4,11,21
g22060,4,11,33
g22064,4,11,33
g22063,4,11,33
g22061,4,11,27
g23392,4,13,3
g13124,6,24,10
DFF_651_n1,4,8,6
g22079,4,11,33
g27768,4,10,16
g22078,4,11,27
g27767,4,10,15
g22077,4,11,33
g22076,4,11,33
g27769,4,10,20
g27764,4,10,2
g27763,4,10,18
g27766,4,10,3
g27765,4,10,18
g27760,4,10,20
g27762,4,10,20
g27761,4,10,15
g22075,4,11,7
g22074,4,11,7
g22073,4,11,7
g18821,4,10,2
g13135,6,24,10
g18820,4,13,14
g22089,4,11,33
g22088,4,11,33
g22087,4,11,3
g27771,4,10,20
g22081,4,13,21
g22080,4,11,33
n3814,2,6,17
n3815,2,6,16
n3812,6,18,32
n3813,2,6,18
g23348,2,3,15
n3811,6,24,32
g709,4,8,13
g708,4,8,12
g707,4,8,14
g706,4,8,13
g705,4,8,12
N690,2,6,11
g704,4,8,14
g703,4,8,13
n3818,2,7,12
g702,4,8,12
n3819,2,12,11
g701,4,8,14
n3816,2,5,10
g700,4,8,13
n3817,2,8,7
g22029,4,11,33
g27718,2,3,15
n3803,2,10,5
n3804,6,18,7
n3801,2,10,5
n3802,2,10,5
g22028,4,11,21
g23359,2,3,24
g22027,4,11,33
g23358,3,6,14
n3800,6,15,8
g22026,2,4,13
g23357,2,3,39
g22025,4,11,21
n3807,2,10,8
n3808,2,10,8
n3805,6,18,7
n3806,6,18,7
g721,4,8,13
g720,4,8,12
g6231,1,4,7
g22035,4,11,7
g27724,2,3,15
n2504,3,8,11
n3836,2,10,8
g22034,4,11,33
n2503,6,15,12
g22033,4,11,33
n2506,2,5,7
n3834,6,21,7
g22032,4,11,2
n2505,4,14,21
n3835,2,10,9
g22039,4,11,21
n2500,6,21,12
n3832,6,18,8
g22038,4,11,3
n3833,6,21,7
g22037,4,11,33
g27722,2,3,15
n2502,6,21,12
n3830,2,10,5
n2501,6,15,12
n3831,2,10,5
g729,4,8,16
g728,4,8,16
g726,4,8,12
g725,4,4,1
g22031,4,11,33
n2508,2,7,14
g724,4,8,13
g22030,4,11,33
n2507,3,6,15
g723,4,8,12
g722,4,8,14
n2509,2,10,13
n3839,6,15,3
g710,4,8,14
n3825,2,10,9
g22045,4,11,27
n3826,6,18,8
g22044,4,11,7
n3823,2,10,9
g22043,4,11,7
n3824,2,10,9
n3821,4,9,7
g22049,4,11,21
n3822,3,6,6
g22048,4,11,33
g719,4,8,14
g22047,4,11,33
n3820,3,5,30
g718,4,8,13
g717,4,8,12
g716,4,8,14
g715,4,8,13
g714,4,8,12
g22042,4,11,33
n3829,2,10,5
g713,4,8,14
g22041,4,11,33
g712,4,4,1
g22040,4,11,33
n3827,6,18,8
n3828,6,18,8
g3185,4,8,12
g740,4,6,31
g3188,4,8,30
n3850,2,5,31
n3851,2,5,11
n2520,2,10,8
g13182,6,24,10
n2526,6,15,12
n3858,2,3,10
n2525,6,18,12
n3859,2,5,13
n2528,6,15,12
n2527,6,18,12
n3857,2,6,12
n2522,2,10,13
n3854,5,17,12
n2521,3,6,14
n3855,4,14,12
n2524,2,10,13
n3852,2,6,17
n2523,2,10,13
n3853,2,5,25
n2529,6,18,12
g744,4,2,1
g3197,4,9,13
g732,4,8,16
g731,4,8,16
g6225,4,8,3
g730,4,8,16
g18885,4,10,2
n3840,6,18,20
g18883,4,10,2
g13194,6,24,10
n2515,4,9,13
n3847,6,15,2
n2514,4,9,8
n3848,6,15,13
n2517,2,7,6
n3845,6,15,2
n2516,4,11,14
n3846,3,11,15
n2511,6,21,12
n3843,6,15,13
n2510,2,10,13
n3844,3,11,15
n2513,3,6,13
n3841,3,11,15
n2512,6,21,12
n3842,3,11,15
g739,4,7,19
g738,4,7,19
g737,4,7,19
g736,4,8,13
n2519,2,10,12
g735,4,8,12
n2518,2,10,12
g734,4,8,14
g733,4,8,16
g3164,4,8,10
g3161,4,8,15
g762,4,6,33
g25191,3,5,24
g3167,4,8,12
n2540,4,9,11
n3872,6,21,7
n3873,6,21,7
n2542,4,11,13
n3870,2,10,8
n2541,4,9,20
n3871,6,21,7
n2548,2,10,12
n2547,3,6,13
n3878,6,21,7
n2549,2,10,12
n3879,6,21,7
g25189,2,3,15
n2544,2,10,19
n3876,2,10,4
n2543,2,7,9
n3877,6,21,7
n2546,2,10,34
n3874,2,10,4
n2545,2,10,19
n3875,2,10,4
g25185,2,3,15
g3170,4,8,14
g767,4,7,18
g753,4,6,33
g3173,4,8,10
g3176,4,8,12
n3861,2,6,24
n3862,2,8,11
n2531,3,8,7
n2530,6,15,12
n3860,2,6,19
n2537,6,21,12
n3869,2,10,8
n2536,2,10,13
n2539,3,6,13
n3867,3,6,5
n2538,6,21,12
n3868,2,10,8
n2533,3,6,15
n3865,3,5,30
n2532,2,5,13
n3866,4,9,6
n2535,2,10,13
n3863,2,7,12
n2534,2,7,14
n3864,2,12,11
g25197,2,3,15
g25199,2,3,22
g3182,4,4,10
g758,4,7,18
g25194,2,3,15
g3142,4,8,17
g13149,6,24,8
g18837,4,13,20
g785,4,8,4
g18836,4,10,2
g18835,4,10,2
g780,4,6,33
n2562,2,10,13
n3894,2,5,11
n2561,2,10,12
n3895,2,6,23
g13143,6,24,10
n2564,6,18,11
n3892,2,6,16
n2563,6,21,12
n3893,2,6,15
n3890,2,6,8
n3891,2,2,13
n2560,2,10,13
n2569,2,7,11
g22099,4,11,3
g22098,4,11,33
n2566,4,9,13
n3898,5,16,23
n2565,6,15,12
n3899,5,18,26
n2568,4,11,14
n3896,2,6,22
n2567,4,9,7
n3897,2,2,13
g22092,4,11,7
g22091,4,11,7
g22090,4,11,7
g22097,4,11,33
g789,4,8,4
g776,4,7,18
g3151,4,8,30
g771,4,6,33
g13155,6,24,10
g3155,4,8,11
g7519,4,8,7
n2551,6,24,3
n2550,2,10,4
n3884,6,18,2
n2553,6,21,11
n3881,2,10,8
g3158,4,8,13
DFF_1009_n1,4,8,5
n2552,6,15,11
n3880,2,10,8
n2559,3,6,14
n2558,2,5,19
n3889,2,6,9
n2555,6,15,2
n3887,2,6,28
n2554,6,15,12
n3888,2,2,13
n2557,3,8,10
n3885,6,15,26
n2556,6,24,12
n3886,2,6,29
g4450,4,8,3
g3124,4,9,6
g3128,4,5,11
g18852,4,10,2
n2584,2,5,27
n2583,3,8,12
n2586,2,7,14
g13164,6,24,10
n2585,3,6,15
n2580,6,15,3
n2582,6,15,12
g3129,4,5,8
g13160,6,24,8
n2581,6,21,12
n2588,2,10,13
n2587,2,10,13
n2589,6,21,12
g30500,4,8,13
g30503,4,8,7
g30505,4,8,15
g797,4,8,4
g5796,4,8,2
g18868,4,13,20
g18867,4,10,2
g793,4,8,4
g18866,4,10,2
g3133,4,5,31
n2573,3,6,14
n2572,2,10,19
n2575,2,10,13
g13175,6,24,10
n2574,2,10,13
n2571,2,10,38
g13171,6,24,10
n2570,2,10,6
n2577,6,15,12
n2576,2,10,13
n2579,6,21,12
n2578,6,15,12
g2133,4,6,24
n2001,1,6,7
n3333,6,24,12
n4664,1,4,9
g2138,4,7,31
n2000,1,6,6
n3334,2,5,34
n4665,1,4,7
n2003,1,6,6
n3331,2,12,12
n4662,1,4,27
n2002,1,6,6
n3332,4,19,12
n4663,1,4,11
n4660,1,6,14
n3330,2,7,3
n4661,1,4,27
n2008,1,6,9
n3339,5,15,11
n2005,1,6,7
n3337,3,10,32
n4668,1,4,3
n2004,1,6,7
n3338,5,15,14
n4669,1,4,11
n2007,1,6,9
n3335,6,23,32
n4666,1,4,7
n3336,4,14,33
n4667,1,4,5
DFF_1449_n1,4,8,2
