Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
n5771,4,8,2,3,12,1,1
n5770,4,8,2,3,12,1,2
n3119,3,9,1,2,22,0,2
n3117,2,8,2,8,43,1,4
n4448,3,10,2,2,23,2,3
n3118,2,8,1,4,4,2,2
n4449,5,15,1,1,19,1,5
n5779,4,8,2,3,21,1,3
n3115,2,5,8,24,18,1,2
n4446,3,6,1,1,25,1,0
n5778,4,8,2,3,30,1,3
n3116,2,6,4,12,25,1,1
n4447,2,4,1,1,24,0,2
n5777,4,8,2,3,57,1,3
g13926,4,8,7,16,8,2,2
g30491,6,15,1,4,9,3,2
g30492,6,15,1,5,9,3,2
g30493,6,15,1,5,9,3,2
g30494,6,15,1,5,9,3,1
g30495,6,15,1,4,9,3,2
g30496,6,15,1,4,9,3,2
g30497,6,14,1,4,13,2,3
g30498,6,14,1,3,16,2,2
n3102,3,10,4,9,44,2,4
n4433,2,6,1,6,20,2,2
n5765,4,6,2,3,11,1,1
n3103,3,12,2,2,38,3,3
n4434,3,5,1,1,19,0,2
n5764,4,8,2,2,13,1,3
n3100,4,9,1,1,21,2,2
n4431,3,12,1,1,10,3,3
n5763,4,8,2,2,10,1,3
n3101,4,10,1,1,45,0,7
n4432,3,12,1,1,19,3,3
n5762,4,8,2,3,15,1,3
n5761,4,8,2,3,15,1,3
n4430,2,6,1,1,11,0,6
n5760,4,8,2,3,15,1,3
g30490,6,15,1,3,9,3,2
n3108,3,8,1,2,51,1,3
n4439,5,13,1,1,22,2,4
n3109,2,4,4,8,9,0,2
n3106,2,7,1,2,56,1,2
n4437,3,10,2,2,25,2,4
n5769,4,8,2,3,12,1,3
n3107,3,9,4,8,50,2,2
n4438,5,15,1,1,19,1,5
n5768,4,8,2,4,17,1,2
n3104,2,6,1,1,45,0,5
n4435,3,6,1,1,27,1,0
n5767,4,8,2,4,27,1,3
n3105,2,6,1,1,45,0,5
n4436,2,4,1,1,26,0,2
n5766,4,8,2,2,7,2,2
g30499,6,14,1,5,18,2,3
n5790,4,8,2,3,5,1,2
g30440,6,15,1,5,9,3,2
g1484,4,8,4,9,10,1,2
g30441,6,15,1,4,9,3,2
g30442,6,15,1,4,9,3,1
g30443,6,15,1,5,9,3,2
n3135,2,8,2,6,40,2,2
n4466,3,7,1,6,20,2,2
n5798,4,8,2,3,10,1,2
g1489,4,6,3,11,42,1,1
n3136,4,15,3,10,42,3,6
n4467,4,10,1,2,42,1,2
n5797,4,8,2,3,10,1,2
n3133,4,10,1,2,18,2,4
n4464,3,12,1,1,11,3,3
n5796,4,8,2,2,10,1,1
n3134,3,10,1,1,11,2,2
n4465,3,12,1,1,11,3,3
n5795,4,4,2,3,10,0,1
n3131,2,5,3,4,19,1,4
n4462,5,13,1,1,15,2,4
n5794,4,8,2,3,10,1,2
n3132,4,9,1,2,20,2,2
n4463,2,6,1,1,12,0,6
n5793,4,8,2,3,10,1,2
n4460,5,16,1,1,14,2,5
n5792,4,8,2,3,10,1,2
n3130,4,10,1,2,16,2,2
n4461,4,11,1,1,14,1,3
n5791,4,8,2,3,10,1,1
n3139,4,10,1,1,20,2,2
n3137,2,8,1,4,4,2,2
n4468,2,5,4,4,41,1,2
n3138,3,9,1,2,21,0,2
n4469,2,4,1,1,48,0,3
n5799,4,4,2,3,10,0,1
g30444,6,15,1,4,9,3,2
g30445,6,15,1,5,9,3,2
g30446,6,15,1,4,9,3,2
g30447,6,15,1,5,9,3,2
g30448,6,15,1,3,9,3,2
g30449,6,15,1,5,9,3,1
g30430,6,15,1,4,9,3,2
g30431,6,14,1,4,13,2,2
g30432,6,14,2,6,16,2,3
n3124,2,6,1,1,42,0,4
n4455,2,6,1,6,20,2,2
n5787,4,8,2,3,10,1,2
n3125,2,6,1,1,42,0,4
n4456,3,5,1,1,12,0,2
n5786,4,4,2,3,5,0,2
n3122,3,10,4,9,41,1,7
n4453,3,12,1,1,11,3,3
n5785,4,8,2,3,22,1,3
n3123,3,12,2,2,18,3,3
n4454,3,12,1,1,23,3,3
n5784,4,8,2,3,11,1,4
n3120,4,9,1,1,21,2,2
n4451,4,12,1,1,23,2,2
n5783,4,8,2,3,19,1,3
n3121,4,10,1,1,42,0,6
n4452,2,6,1,1,12,0,6
n5782,4,8,2,3,21,1,3
n5781,4,4,2,3,39,0,2
n4450,5,13,1,1,22,2,3
n5780,4,8,2,3,23,1,3
n3128,3,8,1,2,15,1,3
n4459,3,10,2,2,16,2,4
n3129,2,4,4,8,9,0,2
n3126,2,7,1,2,20,1,3
n4457,3,6,1,1,18,1,2
n5789,4,8,2,3,10,1,2
n3127,3,9,4,8,14,2,2
n4458,2,4,1,1,17,0,2
n5788,4,8,2,3,10,1,2
g30433,6,14,1,4,18,2,3
g30434,6,12,1,4,8,2,2
g30435,2,7,2,7,33,1,2
g30436,6,14,1,3,13,3,3
g30437,6,14,1,4,13,3,3
g30438,6,14,1,5,13,3,2
g30439,6,14,1,4,13,3,2
n4480,2,5,3,4,41,1,2
n3150,2,4,4,8,9,0,2
n4481,2,4,1,1,48,0,3
g30460,6,14,1,4,4,3,2
g30461,6,14,1,4,4,3,3
g31793,2,8,0,0,23,0,0
g30462,6,14,1,4,4,3,3
g30463,6,14,1,4,4,3,3
g30464,6,15,1,5,9,3,2
g2791,4,10,4,6,20,1,5
g30465,6,15,1,3,9,3,2
n3157,3,9,1,2,21,0,2
n4488,2,6,2,2,4,1,2
g1467,4,8,3,6,10,1,2
n3158,4,10,1,1,20,2,1
n4489,2,6,1,2,33,2,3
n3155,2,8,4,9,40,2,2
n4486,2,4,1,1,48,0,3
g2795,4,10,5,10,20,1,6
n3156,2,8,1,4,4,2,2
n4487,2,5,1,1,39,0,4
n3153,4,9,1,2,14,1,3
n4484,4,11,1,2,39,1,3
n3154,3,10,1,1,11,2,2
n4485,3,12,3,4,38,3,4
n3151,4,10,1,2,16,2,2
n4482,2,4,1,1,42,0,2
g2799,4,10,4,6,20,1,5
n3152,4,8,1,2,21,1,1
n4483,2,6,2,2,4,1,2
n3159,4,10,1,1,39,0,7
g30466,6,15,2,6,9,3,2
g30467,6,15,1,5,9,3,2
g30468,6,15,1,5,9,3,1
g30469,6,15,1,4,9,3,2
n4470,2,4,1,1,42,0,2
g30450,6,15,1,5,9,3,1
g30451,6,15,1,5,9,3,2
g30452,6,14,1,5,13,2,3
g30453,6,14,1,5,16,2,2
g1472,4,8,5,10,45,1,3
g30454,6,14,1,4,18,2,1
n3146,3,10,2,4,26,3,3
n4477,2,5,1,1,39,0,4
g1478,4,8,4,13,42,1,2
n3147,2,7,1,2,20,1,3
n4478,2,6,2,2,4,1,2
n3144,2,6,1,1,42,0,4
n4475,3,12,7,9,38,3,4
n3145,2,6,1,1,42,0,4
n4476,2,4,1,1,48,0,3
n3142,3,12,2,2,14,3,3
n4473,2,6,4,8,3,1,2
n3143,2,3,3,5,19,1,1
n4474,4,11,1,2,39,1,4
n3140,4,10,1,1,42,0,6
n4471,2,6,2,2,4,1,2
n3141,3,10,4,9,41,1,7
n4472,2,8,4,4,47,2,2
n3148,3,9,4,8,14,2,2
n4479,4,10,1,2,42,1,2
n3149,3,8,1,2,15,1,3
g30455,6,12,1,5,8,2,2
g30456,6,14,2,10,4,3,5
g30457,4,10,1,4,5,1,3
g30458,5,9,2,4,15,1,2
g30459,2,7,2,8,24,1,2
n3171,4,8,1,2,21,1,1
n3172,4,9,1,2,29,1,3
n3170,4,10,1,2,25,2,2
g2771,4,10,4,9,21,1,2
n3179,4,10,1,1,20,1,2
g2775,4,10,3,10,19,1,4
g1442,4,8,6,18,46,1,4
n3177,2,6,4,10,2,1,2
n3178,3,9,1,2,21,0,1
g1448,4,8,7,13,12,1,2
n3175,3,12,1,3,19,3,3
g2779,4,6,5,8,1,0,4
n3176,2,8,1,4,4,2,2
n3173,3,10,1,1,11,2,2
n3174,2,4,2,9,24,0,2
n3160,3,10,4,9,38,2,3
n4491,4,10,1,2,37,1,2
n3161,3,12,2,2,29,3,3
n4492,2,5,4,4,36,1,2
n4490,2,7,3,6,31,1,4
g2783,4,10,4,8,15,1,3
g2787,4,10,5,7,23,1,3
n3168,3,8,1,2,24,1,3
n4499,3,12,6,9,33,3,4
n3169,2,4,4,8,7,0,2
n3166,2,7,1,2,29,1,2
n4497,2,6,4,8,14,1,2
g1454,4,8,3,8,10,1,2
n3167,3,9,4,8,23,2,2
n4498,4,11,1,2,34,1,4
n3164,2,6,1,1,39,0,5
n4495,2,6,2,2,15,1,2
n3165,3,10,2,4,13,3,3
n4496,2,8,4,4,42,2,2
n3162,2,3,3,5,19,1,1
n4493,2,4,1,1,43,0,3
n3163,2,6,1,1,39,0,5
n4494,2,4,1,1,37,0,2
n3193,4,9,1,2,17,1,3
n3194,3,9,1,1,11,2,1
n3191,4,10,1,2,6,2,2
n3192,4,7,1,2,21,1,0
n3190,2,4,4,8,5,0,2
n3199,4,10,1,1,20,1,2
n3197,2,8,1,3,4,2,1
n3198,3,9,1,2,21,0,1
n3195,2,6,5,9,25,1,1
n3196,2,8,2,5,42,1,4
g2759,4,9,7,14,13,1,3
g11349,4,8,7,18,23,1,3
n3182,3,12,2,2,17,3,3
n3183,2,3,3,5,19,1,1
n3180,4,8,1,1,44,0,5
n3181,3,10,3,4,43,2,4
g1430,4,8,6,13,18,2,3
g2763,4,9,6,12,16,1,3
n3188,3,10,4,8,4,2,1
n3189,3,8,1,2,5,1,3
g1437,4,4,3,6,11,0,1
n3186,3,10,2,4,17,3,3
n3187,2,7,1,2,10,1,3
g2767,4,10,5,12,20,1,5
n3184,2,6,1,1,44,0,5
n3185,2,4,1,1,18,0,3
g1404,4,8,5,12,45,1,2
g2735,4,9,6,17,13,1,3
g2741,4,8,4,9,15,1,3
g1413,4,8,3,6,5,1,2
g2748,4,4,4,9,17,0,2
g2712,4,8,4,10,7,1,4
g2715,4,9,9,22,9,1,3
g2719,4,9,9,28,13,1,2
g13966,4,8,7,23,31,2,2
g2724,4,4,8,20,15,0,2
g2729,4,9,12,35,10,1,2
g2811,4,10,4,8,20,1,5
g2815,4,10,5,10,15,1,3
g2819,4,10,4,8,23,1,3
g5092,4,6,4,10,33,1,2
g5097,4,10,3,8,36,1,5
g2827,4,6,4,7,1,0,4
DFF_480_n1,4,8,1,1,9,2,2
g5069,4,8,6,10,26,1,2
g6395,4,10,6,20,12,1,3
g5073,4,8,5,8,28,1,2
g5077,4,7,3,12,28,1,3
g2803,4,10,3,8,21,1,3
g2807,4,6,4,13,19,0,2
g5084,4,10,3,7,31,1,3
g5080,4,6,2,9,34,1,2
g6377,4,8,5,14,8,2,3
g5046,4,9,5,13,20,1,2
n9236,4,8,1,6,15,1,2
test_si100,0,0,2,11,0,0,0
g5052,4,9,6,10,20,1,2
g5057,4,6,5,11,24,0,1
g6386,4,8,4,6,12,1,2
g5062,4,8,8,18,42,1,2
g6390,4,7,5,9,9,1,1
g5022,4,8,7,16,13,1,2
g5029,4,10,5,10,12,1,2
n9255,4,9,1,3,13,1,4
DFF_514_n1,4,8,1,1,11,1,1
n9245,4,8,2,10,5,1,1
g5037,4,10,5,13,20,1,2
n9247,4,7,2,6,14,1,2
g5033,4,9,8,17,16,1,3
n9240,4,6,2,6,9,1,2
g5041,4,8,6,13,22,1,2
g6336,4,8,4,14,10,1,3
g17423,4,8,7,16,56,2,3
n9273,4,8,1,3,15,1,2
n9274,4,8,2,4,10,1,2
g5008,4,8,2,6,7,2,3
n9276,4,8,1,5,5,1,1
g30408,6,15,1,4,9,3,2
g30409,6,15,1,3,9,3,2
n9280,4,8,1,5,10,1,2
g30400,6,15,1,4,9,3,2
g30401,6,15,1,5,9,3,2
g30402,6,15,1,4,9,3,1
g30403,6,15,1,4,9,3,2
g30404,6,15,1,4,9,3,2
g30405,6,15,2,6,9,3,2
g30406,6,15,1,5,9,3,1
g30407,6,15,1,4,9,3,2
n9267,4,8,2,6,10,1,2
g5016,4,10,6,14,12,1,2
g5011,4,10,3,6,12,1,3
n9262,4,8,2,11,22,1,2
n9265,4,9,2,6,13,1,4
g6311,4,10,4,7,9,1,3
g30420,6,15,1,4,9,3,2
g30421,6,15,1,5,9,3,2
n9294,4,8,2,3,11,1,2
n9295,4,8,2,5,22,1,2
g30422,6,15,1,5,9,3,2
g30423,6,15,1,4,9,3,1
g30424,6,15,1,5,9,3,2
g30425,6,15,1,4,9,3,2
g30426,6,15,1,4,9,3,2
g30427,6,15,1,5,9,3,1
g30428,6,15,1,3,9,3,2
g30429,6,15,1,5,9,3,2
g30410,6,14,1,3,11,2,3
n9281,4,4,2,17,11,1,1
g30419,6,15,1,5,9,3,1
g28105,6,18,1,3,12,2,2
g30411,6,13,1,5,16,2,2
g30412,6,14,1,4,14,2,3
g30413,6,12,1,4,8,2,2
g30414,2,7,2,7,25,1,2
g28102,6,18,1,3,6,2,2
g30415,6,14,1,4,13,3,3
g30416,6,14,2,6,13,3,3
g30417,6,14,1,5,13,3,3
g30418,6,14,1,5,13,3,3
n5710,4,7,2,4,9,1,2
n5718,4,6,1,1,24,1,2
n5717,4,6,1,1,17,1,2
n5716,4,10,2,3,38,1,4
n5715,4,9,2,3,21,1,3
n5714,4,8,2,3,5,1,2
n5713,4,8,2,3,10,1,4
n5712,4,8,2,3,10,1,5
n5711,4,8,2,4,16,1,2
n5719,4,6,1,1,14,1,2
g6303,4,10,4,9,10,1,5
g6307,4,6,4,6,1,0,3
n5707,4,10,2,2,24,1,4
n5706,4,10,2,2,14,1,4
n5705,4,8,1,1,25,2,2
n5704,4,8,1,1,23,2,2
n5703,4,8,1,1,5,2,2
n5702,4,8,1,1,24,2,3
n5701,4,8,1,1,28,2,2
n5700,4,8,1,1,30,2,2
n5709,4,8,2,4,21,1,4
n5708,4,9,2,3,22,1,3
g17404,4,8,5,16,57,2,2
g17400,4,8,6,16,30,2,3
n4400,3,5,1,1,19,0,2
n5732,4,9,2,3,21,1,2
n4401,3,6,1,1,25,1,0
n5731,4,10,2,3,35,1,4
n5730,4,10,2,3,42,1,4
n4408,3,12,1,1,11,3,3
n4409,3,12,1,1,24,3,3
n5739,4,4,2,3,6,0,1
n4406,4,12,1,1,23,2,2
n5738,4,8,2,3,6,1,2
n4407,2,6,1,1,12,0,6
n5737,4,8,2,3,6,1,2
n4404,5,15,1,1,19,1,5
n5736,4,8,2,3,6,1,2
n4405,5,13,1,1,22,2,4
n5735,4,8,2,3,6,1,2
n4402,2,4,1,1,24,0,2
n5734,4,8,2,3,6,1,2
n4403,3,10,2,2,23,2,4
n5733,4,8,2,3,13,1,3
n5721,4,6,1,1,17,1,3
n5720,4,6,1,1,17,1,2
n5729,4,8,2,4,5,2,3
n5728,4,10,2,3,15,1,3
n5727,4,6,2,4,9,1,2
n5726,4,8,1,1,8,2,3
n5725,4,10,2,3,31,1,4
n5724,4,10,2,3,24,1,5
n5723,4,6,1,1,13,1,2
n5722,4,2,1,1,8,0,1
n4301,2,5,2,8,11,1,1
n5633,4,8,1,5,16,1,2
n4302,4,12,1,1,3,2,6
n5632,4,8,1,3,18,1,2
n5631,4,8,2,2,11,1,3
n4300,2,5,2,8,11,1,1
n5630,4,10,2,4,30,1,3
n4309,4,12,1,1,7,0,8
n4307,2,8,1,1,19,2,2
n5639,4,7,1,1,3,1,3
n4308,6,24,1,1,9,6,6
n5638,4,10,1,1,8,1,3
n4305,3,12,1,2,9,0,10
n5637,4,8,1,5,7,2,3
n4306,4,14,1,1,8,2,4
n5636,4,8,1,5,2,2,2
n4303,2,8,1,1,19,2,1
n5635,4,7,1,1,7,1,2
n4304,2,8,3,5,20,2,1
n5634,4,10,1,1,29,1,3
n5622,4,8,2,9,32,2,2
n5621,4,9,2,4,14,1,4
n5620,4,5,2,2,3,0,2
n5629,4,10,2,3,18,1,3
n5628,4,8,2,4,11,1,1
n5627,4,7,2,2,31,1,0
n5626,4,8,2,4,15,1,2
n5625,4,8,2,2,22,1,2
n5624,4,8,2,2,15,1,2
n5623,4,7,2,2,9,1,2
g1384,4,10,6,12,38,1,3
g1389,4,10,6,8,52,1,4
n4323,2,5,2,8,11,1,1
n5655,4,8,3,4,25,1,3
n4324,4,12,1,1,3,2,6
n5654,4,8,3,4,20,1,3
n4321,3,12,2,8,29,3,3
n5653,4,8,4,5,23,1,2
n4322,2,5,2,8,11,1,1
n5652,4,8,5,9,3,1,3
n5651,4,8,6,12,12,1,2
n4320,2,5,1,4,10,1,0
n5650,4,8,6,12,3,1,2
n4329,2,4,1,2,4,0,3
n4327,2,6,1,2,17,1,2
n5659,4,8,3,3,40,1,1
n4328,2,6,3,4,11,1,2
n5658,4,4,3,3,9,0,1
n4325,2,8,1,1,29,2,2
n5657,4,10,2,3,12,1,5
n4326,2,8,3,5,30,2,2
n5656,4,6,4,6,18,1,2
g1395,4,8,6,11,43,1,2
n4312,3,12,1,1,12,2,2
n5644,4,8,1,1,3,1,2
n4313,4,15,1,1,7,3,3
n5643,4,8,1,1,3,1,2
n4310,2,8,1,1,19,2,2
n5642,4,8,1,2,10,1,2
n4311,2,5,1,1,6,0,3
n5641,4,8,1,1,3,1,2
n5640,4,10,1,1,8,1,3
n4318,2,9,1,1,4,0,2
n4319,5,16,1,1,3,2,8
n5649,4,8,6,12,12,1,2
n4316,2,5,1,1,32,1,1
n5648,4,8,6,12,12,1,2
n4317,3,12,2,5,5,3,3
n5647,4,8,6,12,12,1,2
n4314,3,12,2,5,25,3,3
n5646,4,8,6,12,12,1,2
n4315,3,6,1,1,6,0,5
n5645,4,8,6,12,12,1,2
g30560,6,14,1,5,13,2,3
g30561,6,14,1,5,13,2,3
g30562,6,14,1,5,15,2,3
g31894,5,9,2,11,9,1,2
g1361,4,10,6,14,58,1,4
g30563,6,12,1,4,8,2,2
g31895,3,6,1,4,6,1,1
g1367,4,10,6,10,58,1,4
n3014,3,6,2,3,47,1,2
n4345,2,6,1,2,8,1,1
n5677,4,10,3,6,25,1,5
n3015,4,7,1,2,22,0,3
n4346,2,3,5,9,7,0,1
n5676,4,6,3,6,24,0,3
g2697,4,10,5,10,3,1,3
n3012,3,12,2,6,10,3,3
n4343,5,13,2,2,29,0,4
n5675,4,10,3,6,23,1,4
n3013,3,12,2,6,10,3,3
n4344,2,4,1,2,4,0,3
n5674,4,10,3,6,36,1,4
n3010,3,5,1,2,24,0,1
n4341,2,7,1,2,14,0,1
n5673,4,10,3,6,30,1,4
n3011,3,5,1,2,34,0,1
n4342,2,7,1,1,13,1,3
n5672,4,10,3,6,23,1,5
n5671,4,8,3,3,8,1,2
g17580,4,8,7,17,26,2,3
n4340,3,9,2,6,31,2,3
n5670,4,8,3,5,10,1,2
n3018,3,9,4,11,20,1,4
n4349,4,9,1,2,25,1,3
n3019,2,8,3,6,11,2,2
n3016,3,9,1,1,21,1,4
n4347,2,6,1,2,30,1,1
n5679,4,10,3,6,21,1,3
n3017,2,8,5,5,13,2,2
n4348,2,4,5,8,23,0,2
n5678,4,10,3,6,26,1,4
g31896,3,6,1,3,14,0,2
g31897,3,6,1,2,9,0,2
g31898,6,12,2,9,11,1,5
g31899,6,13,2,7,7,1,4
g30550,6,15,1,5,9,3,2
g30551,6,15,1,5,9,3,2
g30552,6,15,1,5,9,3,2
g1373,4,10,7,11,58,1,4
g30553,6,15,1,5,9,3,2
n3003,2,5,4,5,19,0,3
n4334,3,6,1,2,34,1,1
n5666,4,8,3,3,13,1,2
g1379,4,8,6,14,60,1,3
n3004,2,8,2,2,15,2,2
n4335,4,9,1,2,34,1,3
n5665,4,8,3,3,5,1,2
n3001,3,9,1,1,21,2,2
n4332,2,6,1,2,39,1,1
n5664,4,8,3,3,13,1,2
n3002,2,6,1,1,17,2,1
n4333,2,5,5,8,32,0,3
n5663,4,4,3,3,17,0,1
n4330,2,6,1,2,8,1,1
n5662,4,8,3,3,38,1,2
n3000,3,9,1,1,21,2,2
n4331,2,3,5,9,7,0,1
n5661,4,8,3,3,34,1,3
n5660,4,8,3,3,35,1,2
n3009,4,5,1,1,21,1,0
n3007,2,4,4,5,19,1,3
n4338,3,6,1,1,24,1,1
n3008,2,2,1,1,18,0,0
n4339,4,11,1,1,24,2,2
n5669,4,10,1,2,37,1,4
n3005,2,4,4,6,16,0,1
n4336,2,8,1,1,29,2,2
n5668,4,8,3,3,29,1,2
n3006,2,4,4,5,19,1,3
n4337,2,2,2,3,7,0,0
n5667,4,8,3,3,11,1,3
g30554,6,15,1,4,9,3,2
g30555,6,15,1,5,9,3,2
g30556,6,15,1,4,9,3,2
g30557,6,15,1,5,9,3,2
g30558,6,15,1,4,9,3,2
g30559,6,15,1,4,9,3,2
n5691,4,8,3,4,10,1,2
n4360,2,6,1,2,6,1,1
n5690,4,8,2,2,10,1,3
g2671,4,9,2,5,53,1,3
g1345,4,10,7,12,12,1,3
n3036,3,9,1,1,13,1,3
n4367,2,2,2,3,7,0,0
n5699,4,8,1,1,19,2,2
n3037,2,8,5,5,13,2,1
n4368,3,6,1,1,33,1,1
n5698,4,8,1,1,7,2,2
g2675,4,4,4,9,55,0,1
n3034,3,6,2,3,47,1,2
n4365,3,6,1,2,30,1,1
n5697,4,8,3,4,11,1,2
n3035,4,7,1,2,14,0,3
n4366,2,8,1,1,38,2,1
n5696,4,4,3,4,11,0,1
n3032,2,3,3,5,20,0,1
n4363,2,4,5,8,28,0,2
n5695,4,8,3,4,18,1,3
n3033,2,6,4,8,46,1,2
n4364,4,9,1,2,30,1,3
n5694,4,8,2,2,12,2,2
n3030,2,2,4,7,10,0,0
n4361,2,3,5,9,5,0,1
n5693,4,8,3,4,10,1,2
n3031,2,7,1,2,13,1,2
n4362,2,6,1,2,35,1,1
n5692,4,8,3,4,10,1,1
n3038,3,8,4,11,12,1,2
n4369,4,11,1,1,33,2,2
n3039,2,8,3,6,11,2,1
n5680,4,10,3,6,22,1,4
g2681,4,8,3,7,57,1,3
g1351,4,8,3,9,48,1,2
n3025,4,8,1,2,22,0,4
n4356,2,7,1,2,14,0,1
n5688,4,8,3,4,10,1,2
n3026,3,7,1,1,21,1,3
n4357,2,7,1,1,13,1,3
n5687,4,8,3,4,10,1,2
n3023,2,6,4,8,46,1,2
n4354,4,11,1,1,36,2,2
n5686,4,8,3,4,10,1,2
n3024,3,4,2,3,47,1,1
n4355,3,9,2,6,22,2,3
n5685,4,8,3,4,10,1,2
n3021,2,7,1,2,13,1,2
n4352,2,2,2,3,9,0,0
n5684,4,8,3,4,10,1,2
n3022,2,2,3,5,22,0,0
n4353,3,6,1,1,36,1,1
n5683,4,8,3,4,9,1,2
n4350,3,6,1,2,25,1,1
n5682,4,8,3,4,10,1,2
g2689,4,8,8,27,3,1,2
n3020,2,4,4,7,10,0,1
n4351,2,8,1,1,4,2,1
n5681,4,10,3,6,31,1,3
n3029,2,8,3,6,11,2,2
n3027,2,7,5,13,19,1,2
n4358,5,13,2,3,20,0,4
n3028,2,8,5,5,13,2,2
n4359,2,4,1,2,4,0,3
n5689,4,6,2,2,39,1,2
n3050,2,7,1,2,13,1,2
n4381,5,15,1,1,19,1,5
n3051,2,2,3,6,14,0,0
n4382,5,13,1,1,22,2,4
n4380,3,10,2,2,25,2,4
n3058,2,7,1,2,13,1,2
n4389,3,5,1,1,19,0,2
n3059,2,2,3,5,32,0,0
n3056,2,8,3,6,11,2,2
n4387,2,6,1,6,20,2,2
g2652,4,8,6,11,24,1,3
n3057,2,4,4,7,10,0,1
n4388,2,7,8,8,19,1,4
n3054,3,9,1,1,31,1,4
n4385,3,12,1,1,11,3,3
n3055,2,8,5,5,13,2,2
n4386,3,12,1,1,16,3,3
g2657,4,8,3,11,11,1,1
n3052,3,6,2,3,47,1,2
n4383,4,12,1,1,23,2,2
n3053,4,7,1,2,32,0,3
n4384,2,6,1,1,12,0,6
g11447,4,8,2,5,8,1,2
n4370,3,9,2,6,27,2,3
n3040,2,4,4,7,10,0,1
n4371,2,7,1,2,14,0,1
g2661,4,8,3,7,13,1,2
g10122,4,8,3,10,13,1,2
g3990,4,8,4,13,10,1,2
n3047,3,8,4,11,12,1,2
n4378,3,6,1,1,27,1,0
n3048,2,8,3,6,11,2,2
n4379,2,4,1,1,26,0,2
n3045,3,9,1,1,13,1,4
n4376,2,6,1,1,14,1,2
g1333,4,8,3,8,37,2,2
n3046,2,8,5,5,13,2,2
n4377,3,5,1,1,19,0,2
n3043,3,6,2,3,47,1,2
n4374,2,5,1,2,11,1,1
g1339,4,7,4,15,32,1,2
n3044,4,7,1,2,14,0,3
n4375,2,3,1,2,15,0,1
n3041,2,7,1,2,13,1,2
n4372,2,7,1,1,13,1,3
n3042,2,2,3,5,14,0,0
n4373,5,13,2,2,25,0,4
n3049,2,4,4,8,10,0,1
n3072,2,2,4,7,10,0,0
