Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI,inFF1,inFF2
n3146,2,5,3,4,14,1,2
n4477,4,3,3,3,4,0,0
n3147,2,12,3,4,13,0,7
n4478,4,7,3,3,17,1,1
n3144,3,6,1,1,15,0,1
n4475,4,7,3,3,13,1,1
g1476,4,8,5,23,3,1,3
n3145,5,9,1,1,15,0,3
n4476,4,7,3,3,13,1,1
n3142,3,13,1,3,16,0,0
n4473,4,7,3,3,17,1,1
n3143,5,9,1,1,15,0,3
n4474,4,7,3,3,17,1,1
n3140,2,4,2,2,14,0,1
n4471,4,3,3,3,4,0,0
n3141,2,4,2,2,17,0,2
n4472,4,7,3,3,17,1,1
g28148,3,6,1,4,33,0,4
n3148,2,10,3,4,13,1,7
n4479,4,6,2,2,43,1,1
n3149,2,5,3,4,14,1,2
g28145,3,6,1,4,4,0,4
g30455,4,8,1,3,3,1,3
g28147,3,6,1,4,10,0,4
g28146,3,6,1,4,39,0,4
n3171,2,6,2,4,37,1,3
n3172,2,6,3,4,3,2,2
n3170,2,6,1,1,38,2,2
g2772,4,8,3,7,11,1,3
g1444,4,7,4,9,11,1,1
g2776,4,8,3,6,9,1,3
n3179,2,6,1,1,15,1,1
g2775,4,8,3,6,11,1,3
g2774,4,8,3,7,10,1,3
n3177,3,9,3,3,11,0,3
g2773,4,8,3,7,9,1,3
n3178,2,4,3,3,14,0,1
g1448,4,6,4,8,7,1,1
g2779,4,8,3,6,9,1,3
n3176,2,6,1,1,15,1,1
g2778,4,8,3,6,11,1,3
n3173,5,16,1,3,7,3,7
g2777,4,8,3,6,10,1,3
n3174,3,13,2,3,14,2,6
g8087,4,5,9,33,6,1,3
g8082,4,8,9,27,7,2,2
n3160,2,6,3,4,32,2,2
n4491,4,8,1,1,14,1,4
n3161,2,2,5,10,4,0,0
n4492,4,8,1,1,19,1,4
n4490,4,8,1,1,8,1,3
g2783,4,8,3,5,10,1,3
g2782,4,8,3,6,9,1,3
g2780,4,8,3,6,10,1,3
g2787,4,8,3,6,11,1,3
n3168,2,6,3,4,38,2,2
n4499,4,5,2,26,8,1,2
g2786,4,8,3,7,10,1,2
n3169,2,2,5,10,33,0,0
g1453,4,7,4,8,12,1,1
g2785,4,4,3,7,1,0,2
n3166,2,6,1,1,38,2,2
n4497,2,8,1,3,9,2,2
g2784,4,8,3,7,11,1,3
n3167,2,6,2,4,37,1,3
n4498,1,2,7,12,14,0,0
n3164,2,6,3,4,9,2,2
n4495,2,8,1,3,12,2,2
n3165,2,2,5,10,33,0,0
n4496,2,5,1,3,2,1,0
g1457,4,6,4,8,7,1,1
g2789,4,8,3,6,10,1,3
n3162,2,6,1,1,9,2,2
n4493,4,8,1,1,13,2,3
g2788,4,8,3,6,9,1,3
n3163,2,6,2,4,8,1,3
n4494,4,5,12,24,9,1,2
g8096,4,8,3,7,8,1,2
n3193,3,7,1,3,15,0,0
n3194,5,8,1,1,14,0,0
n3191,2,4,3,3,12,0,1
n3192,6,15,3,7,12,3,6
n3190,3,9,3,3,9,0,3
g1422,4,8,3,5,6,1,2
g1423,4,7,4,30,21,1,2
g2753,4,3,5,13,17,0,0
g23329,2,3,2,8,8,0,1
g1420,4,8,3,5,7,1,2
n3199,6,15,2,10,10,3,6
g1421,4,8,3,5,5,1,2
DFF_1349_n1,4,8,2,3,2,2,2
g1426,4,6,3,4,7,1,1
n3197,3,16,2,6,11,0,8
n3198,4,14,5,9,4,2,8
g1424,4,7,3,5,21,1,2
n3195,2,7,2,4,13,0,3
g1425,4,7,3,6,18,1,2
n3196,3,6,2,4,12,0,1
g23324,2,3,2,8,12,0,1
DFF_299_n1,4,8,2,3,5,2,4
n3182,3,9,3,3,7,0,3
n3183,2,4,3,3,10,0,1
n3180,2,9,3,3,13,0,3
n3181,2,6,1,1,11,1,1
g1430,4,6,4,6,7,1,1
g2760,4,6,3,7,13,1,0
g23339,2,3,2,8,12,0,1
n3188,2,9,3,3,9,0,3
n3189,2,3,1,1,13,0,1
n3186,2,10,2,5,13,1,5
n3187,2,6,1,1,11,1,1
g1435,4,7,4,9,11,1,1
n3184,2,6,1,1,15,1,1
g2766,4,6,2,4,13,1,1
n3185,2,5,3,7,13,0,0
g1439,4,6,4,8,7,1,1
g23330,3,5,1,5,11,0,2
g1400,4,8,3,5,5,1,3
g1404,4,8,3,6,6,1,3
g1405,4,8,3,6,7,1,3
g1402,4,8,3,6,7,1,3
g2734,4,6,3,9,13,1,1
g1403,4,8,3,6,5,1,2
g2733,4,8,3,10,9,1,4
g1408,4,8,3,7,7,1,3
g1409,4,8,3,7,5,1,3
g1406,4,8,3,6,5,1,3
g1407,4,8,3,6,6,1,3
g28199,2,3,2,8,12,0,1
g1411,4,8,3,7,7,1,3
g25938,3,5,1,4,11,0,2
g1412,4,8,3,7,5,1,3
g1410,4,8,3,7,6,1,3
g1415,4,8,3,5,9,1,2
g1416,4,8,3,4,9,1,2
g2746,4,7,4,10,17,1,1
g25935,3,6,1,4,39,0,4
g1413,4,8,3,7,6,1,3
g1419,4,8,3,6,9,1,1
g1417,4,8,3,6,9,1,2
g25932,3,5,1,4,40,0,2
g1418,4,4,3,6,1,0,1
g8012,4,5,9,33,6,1,3
g2714,4,6,3,9,13,1,1
g25940,3,5,1,3,34,0,2
g8021,4,5,5,8,2,1,0
g8023,4,8,5,21,3,1,4
g2720,4,7,4,12,17,1,1
g2727,4,6,4,10,13,1,1
g8030,1,4,0,0,8,1,1
g2813,4,7,3,4,13,1,2
g2812,4,7,3,5,13,1,2
g2810,4,8,3,5,10,1,2
g27621,2,3,1,4,29,0,1
DFF_1100_n1,4,1,1,1,6,0,0
n3913,3,10,3,3,18,3,4
n3914,4,13,1,1,29,2,4
n3911,3,10,3,3,18,2,3
n3912,3,8,3,3,25,2,4
n3910,3,7,3,3,28,2,2
n3919,5,16,1,8,12,2,7
n3917,3,10,3,3,26,3,4
n3918,3,8,1,1,18,2,3
n3915,2,5,3,3,28,1,4
n3916,2,5,4,6,22,0,5
g8106,1,4,8,28,6,1,1
g2802,4,8,3,5,13,1,2
g2801,4,8,3,7,10,1,2
g2800,4,4,3,7,1,0,2
g2806,4,8,3,6,13,1,2
n3902,3,10,3,3,31,2,3
g2805,4,8,3,6,13,1,2
n3903,2,4,3,3,13,0,3
g2804,4,8,3,5,13,1,2
n3900,5,17,1,8,29,2,9
g2803,4,8,3,5,13,1,2
n3901,5,17,1,8,32,2,6
g2809,4,8,3,5,9,1,2
g2808,4,8,3,5,11,1,2
g2807,4,8,3,6,13,1,2
n3908,3,10,3,3,18,3,4
n3909,4,14,1,1,29,2,6
n3906,2,3,3,3,29,1,2
n3907,2,4,3,3,28,2,2
n3904,4,12,1,1,14,2,2
g18707,4,13,2,8,10,3,4
n3905,2,4,3,3,13,0,3
test_si100,0,0,1,2,0,0,0
n2603,3,5,1,1,12,0,1
n3935,2,8,2,4,4,2,1
DFF_1353_n1,4,8,2,3,5,2,4
n2602,3,13,1,1,13,0,6
n3936,2,6,4,12,28,2,2
g24557,4,11,1,3,10,2,3
n2605,3,7,2,2,15,0,2
n3933,2,8,3,9,24,2,2
n2604,4,13,1,1,16,0,7
n3934,3,12,4,13,26,3,3
n3931,6,16,1,1,32,2,5
n3932,2,6,3,9,12,1,2
n2601,2,2,1,1,7,0,0
n2600,2,4,1,1,14,0,0
n3930,5,18,1,10,30,2,5
n2607,2,3,1,1,6,0,0
n3939,2,6,5,16,27,1,2
n2606,6,24,6,13,5,6,6
n2609,2,6,3,3,5,0,0
n3937,4,14,1,1,29,2,6
n2608,2,5,3,5,3,1,1
n3938,2,7,2,8,26,1,4
n3924,4,14,1,1,29,2,6
n3925,6,19,1,1,29,3,6
n3922,5,18,1,8,30,2,5
n3923,6,17,1,1,11,2,6
n3920,5,20,1,8,26,2,10
n3921,5,17,1,8,29,2,9
n3928,5,20,1,10,26,2,10
n3929,5,17,1,10,29,2,9
n3926,3,8,1,1,12,2,3
n3927,5,16,1,10,25,2,6
DFF_309_n1,4,8,2,1,6,2,4
n3950,2,5,12,22,8,1,2
g27603,2,3,1,4,35,0,1
n2625,4,13,1,1,16,0,4
n3957,4,8,1,1,15,0,3
n2624,3,5,1,1,11,0,1
n3958,4,8,1,1,19,0,3
n2627,6,15,6,13,8,3,6
n3955,2,8,1,3,6,2,2
n2626,3,7,2,2,15,0,2
n3956,6,24,1,3,14,4,6
n2621,2,4,1,1,13,0,0
n3953,2,5,12,22,8,1,2
n2620,3,5,1,1,34,0,0
n3954,2,5,12,22,6,1,1
n2623,3,13,1,1,12,0,3
n3951,2,5,12,22,7,1,2
n2622,2,2,1,1,10,0,0
n3952,3,14,3,3,8,0,12
g608,4,8,3,5,9,1,2
g605,4,4,3,5,1,0,2
n2629,2,5,3,5,32,1,1
n2628,2,3,1,1,35,0,0
g602,4,8,3,5,11,1,3
n3959,2,5,1,1,18,1,1
g6368,4,5,11,57,6,1,2
n2614,2,6,3,6,3,1,1
n3946,4,17,1,0,18,3,6
n2613,2,5,2,4,3,1,1
n3947,5,16,2,2,7,3,6
n2616,2,10,1,3,9,0,3
n3944,3,12,2,4,25,3,3
n2615,2,4,3,3,12,0,0
n3945,2,9,1,0,8,1,4
n2610,2,10,6,8,11,1,5
n3942,2,6,3,11,25,2,2
n3943,3,8,1,1,18,2,3
g27612,2,3,1,4,6,0,1
n2612,3,4,1,1,4,0,1
n3940,2,6,3,11,20,1,3
n2611,2,2,1,1,15,0,0
n3941,6,19,1,1,29,3,6
n2618,6,15,7,15,8,3,6
n2617,2,10,4,11,13,0,3
n3948,2,6,1,2,6,1,3
n2619,4,8,1,1,35,0,0
n3949,3,14,3,3,8,0,12
g17429,4,13,2,4,11,3,5
DFF_1148_n1,4,8,1,1,6,2,4
g18755,4,13,1,2,6,3,4
g18754,4,10,2,12,2,2,2
n3971,2,5,12,22,7,1,2
n3972,3,14,3,3,4,0,12
n2641,2,4,1,1,14,0,0
n2640,3,5,1,1,34,0,0
n3970,2,5,1,1,9,1,0
n2647,6,21,6,13,10,5,6
n3979,2,5,1,1,18,1,1
n2646,3,7,2,2,15,0,2
n2649,2,5,3,5,32,1,1
n3977,4,8,1,1,15,0,3
n2648,2,3,1,1,35,0,0
n3978,4,8,1,1,19,0,3
n2643,3,13,1,1,13,0,5
n3975,2,8,1,3,6,2,2
n2642,2,2,1,1,12,0,0
n3976,6,24,1,3,14,4,6
n2645,4,13,1,1,16,0,6
n3973,2,5,12,22,4,1,2
n2644,3,5,1,1,12,0,1
n3974,2,5,12,22,6,1,1
g25042,2,3,1,4,35,0,1
g629,4,8,6,27,7,2,4
g611,4,8,3,5,11,1,3
n3960,2,5,1,1,14,1,1
g18763,4,13,2,9,11,3,4
n3961,2,5,1,1,14,1,1
n2630,2,6,3,3,34,0,0
n3968,2,4,1,1,10,0,2
n2635,2,6,3,6,32,1,1
n3969,2,5,1,1,9,1,1
n2638,6,21,7,15,10,5,5
n3966,2,5,1,1,18,1,1
n2637,2,10,4,11,14,0,5
n3967,2,5,1,1,14,1,1
n2632,2,2,1,1,14,0,0
n3964,2,5,1,1,9,1,1
n2631,2,10,6,8,10,1,7
n3965,2,5,1,1,14,1,1
n2634,2,5,2,4,32,1,1
n3962,2,4,1,1,10,0,2
n2633,3,4,1,1,33,0,1
n3963,2,5,1,1,9,1,1
g617,4,8,3,4,9,1,3
g25056,2,3,1,4,6,0,1
g614,4,8,3,5,7,1,3
n2639,4,8,1,1,35,0,0
g6313,4,5,14,83,8,1,2
g640,4,6,3,9,13,1,1
n2661,3,10,12,40,14,0,0
n3993,2,5,12,22,8,1,2
n2660,2,9,1,3,15,0,3
n3994,3,5,1,1,9,0,2
n2663,3,5,3,5,14,0,0
n3991,2,5,12,22,3,1,2
n2662,2,4,2,6,17,0,0
n3992,3,14,3,3,8,0,12
n3990,2,5,1,1,9,1,1
n2669,2,5,1,1,15,0,0
n2668,2,5,3,9,17,0,0
n3999,4,8,1,1,11,0,3
n2665,5,13,3,3,18,1,2
n3997,2,8,1,3,2,2,1
n2664,5,15,3,3,19,0,4
n3998,6,24,1,3,10,4,6
n2667,2,8,1,3,13,0,3
n3995,2,5,1,1,8,1,2
n2666,6,15,7,12,10,3,6
n3996,2,5,12,22,2,1,0
g25067,2,3,1,4,29,0,1
g646,4,7,4,12,17,1,1
g633,4,7,5,13,17,1,1
g630,4,8,6,22,9,1,6
n2650,2,6,3,3,34,0,0
n3982,2,4,1,1,10,0,2
n3983,2,5,1,1,9,1,1
n2652,2,2,1,1,15,0,0
n3980,2,5,1,1,14,1,1
n2651,2,10,6,8,11,1,6
n3981,2,5,1,1,14,1,1
g18782,4,13,2,4,11,3,5
g18781,4,10,2,12,2,2,2
g18780,4,13,2,8,9,3,4
n2658,5,13,3,3,19,1,1
n2657,5,15,3,3,19,0,3
n3988,2,4,1,1,10,0,2
n2659,2,4,8,24,18,0,0
n3989,2,5,1,1,9,1,1
n2654,2,5,2,4,32,1,1
n3986,2,5,1,1,18,1,1
n2653,3,4,1,1,33,0,1
n3987,2,5,1,1,14,1,0
n2656,5,13,3,3,19,1,1
n3984,2,5,1,1,9,1,1
n2655,2,6,3,6,32,1,1
n3985,2,5,1,1,14,1,1
DFF_792_n1,4,5,1,1,16,1,1
test_so3,0,0,0,0,0,0,0
test_so4,0,0,0,0,0,0,0
test_so1,4,6,0,0,3,1,2
test_so2,4,4,3,4,1,1,1
test_so7,4,8,1,2,9,1,3
test_so8,4,8,1,2,11,1,4
test_so5,0,0,0,0,0,0,0
g660,4,6,3,9,13,1,1
test_so6,4,8,1,2,12,1,4
n2683,2,5,3,9,17,0,0
n2682,2,8,1,3,13,0,3
n2685,3,7,2,2,10,0,0
n2684,2,5,1,1,11,0,0
n2681,6,18,7,12,10,4,6
n2680,5,13,3,3,19,1,1
n2687,2,2,9,15,8,0,0
n2686,2,8,1,1,13,0,4
n2689,2,9,1,3,14,0,6
n2688,2,4,8,24,17,0,0
test_so9,4,9,1,4,28,1,3
g28990,3,13,3,4,14,2,6
g18719,4,13,2,4,11,3,4
g653,4,6,4,10,13,1,1
g18726,4,13,2,8,11,3,4
n2672,2,2,9,15,12,0,0
n2671,2,8,1,1,13,0,5
n2674,2,9,1,3,15,0,4
n2673,2,4,8,24,18,0,0
n2670,3,7,2,2,14,0,0
n2679,5,13,3,3,19,1,2
n2676,2,4,2,6,17,0,0
n2675,3,10,12,40,10,0,0
g27678,3,6,2,8,12,0,4
n2678,5,15,3,3,18,0,5
n2677,3,5,3,5,14,0,0
g27672,3,6,2,8,3,0,4
g659,4,8,3,10,9,1,4
g686,4,6,3,7,13,1,0
n4400,4,6,5,6,13,1,1
n4401,4,6,5,6,9,1,1
n4408,4,7,4,4,17,1,1
n4409,4,7,4,4,17,1,1
n4406,4,8,4,12,25,1,1
n4407,4,7,4,4,17,1,1
n4404,4,6,5,6,13,1,1
n4405,4,8,5,13,30,1,1
n4402,4,6,5,6,9,1,1
g25027,2,3,1,4,35,0,1
n4403,4,6,5,6,13,1,1
g27682,3,6,2,8,16,0,4
g672,4,7,4,10,17,1,1
g18743,4,13,2,8,8,3,4
n2694,5,13,3,3,19,1,1
n2693,5,15,3,3,19,0,4
n2696,6,21,7,12,9,5,6
n2695,5,13,3,3,19,1,1
n2690,3,9,12,40,14,0,0
n2692,3,6,3,5,13,0,0
n2691,2,4,2,6,16,0,0
n2698,2,5,3,9,16,0,0
n2697,2,8,1,3,12,0,3
n2699,2,5,1,1,14,0,0
g4590,4,8,5,21,3,1,4
g679,4,3,5,13,17,0,0
g3102,4,4,3,6,11,0,2
g3100,4,8,3,4,7,1,3
g3106,4,8,3,6,7,1,3
n4301,4,8,2,3,17,1,1
g3105,4,8,3,6,11,1,3
n4302,4,8,2,2,27,1,1
g16297,4,5,3,9,14,1,1
g3104,4,8,3,6,9,1,3
g3103,4,8,3,6,7,1,2
g20314,4,16,2,5,11,3,8
n4300,4,5,15,36,9,1,2
g3109,4,5,3,14,9,1,2
g3108,4,8,3,6,11,1,3
g3107,4,8,3,6,9,1,3
n4309,4,5,15,30,5,1,3
n4307,4,5,15,30,5,1,2
n4308,4,1,15,30,1,0,1
n4305,4,7,3,6,23,1,2
n4306,4,5,15,30,5,1,3
n4303,4,8,4,10,11,1,4
g20310,4,10,1,5,2,2,2
n4304,4,8,4,10,12,1,4
DFF_1013_n1,4,8,1,3,2,2,2
DFF_15_n1,4,6,1,2,3,1,2
g699,4,8,3,7,9,1,3
g698,4,8,3,7,11,1,3
g3112,4,9,2,6,25,1,3
g3111,4,9,3,8,24,1,3
g3110,4,9,2,6,10,1,3
g692,4,6,2,4,13,1,1
g3117,4,5,4,29,7,1,2
n2594,2,4,3,3,10,0,0
n2597,6,24,7,16,5,6,6
n2596,2,10,4,11,14,0,6
DFF_1495_n1,4,8,1,1,6,2,4
n2591,3,6,3,4,13,0,5
n2590,6,21,4,6,12,5,5
n2593,2,4,3,3,7,0,0
n2592,2,4,3,3,11,0,0
n2599,3,5,1,1,5,0,0
n2598,4,8,1,1,6,0,0
g1386,4,4,3,7,1,0,2
g1384,4,8,3,7,7,1,2
g5747,4,1,6,34,1,0,1
g1389,4,8,3,6,6,1,3
n4323,4,5,12,27,6,1,2
n4324,4,5,15,27,6,1,2
g1387,4,8,3,6,7,1,3
n4321,4,8,6,9,4,2,2
g1388,4,8,3,6,5,1,3
n4322,4,8,6,9,4,2,2
n4320,4,8,6,9,3,1,3
n4329,4,8,4,11,29,1,1
g20333,4,16,2,5,7,3,8
n4327,4,8,6,11,4,2,2
n4328,4,8,6,11,4,2,2
n4325,4,8,6,11,3,1,3
DFF_1001_n1,4,8,2,3,5,2,4
n4326,4,8,6,11,3,1,3
g1392,4,8,3,6,6,1,3
g1393,4,8,3,6,7,1,3
g1390,4,8,3,6,7,1,3
g1391,4,8,3,6,5,1,3
g1396,4,8,3,7,7,1,3
g1397,4,8,3,7,5,1,3
g1394,4,8,3,6,5,1,3
g1395,4,8,3,6,6,1,3
n4312,4,5,10,36,8,1,2
n4313,4,5,15,36,9,1,2
g1398,4,8,3,7,6,1,3
n4310,4,8,4,10,12,1,4
g1399,4,4,3,6,1,0,2
n4311,4,8,3,8,9,1,4
n4318,4,5,14,38,6,1,1
n4319,4,8,6,9,3,1,3
n4316,4,5,13,32,7,1,2
n4317,4,5,14,38,6,1,2
n4314,4,5,13,32,4,1,3
g20343,4,10,1,5,2,2,1
n4315,4,5,13,32,5,1,2
g2691,4,8,3,5,8,1,3
g2694,4,8,3,5,10,1,3
n3014,2,9,1,3,11,0,0
n4345,4,8,1,1,12,1,4
n3015,5,14,1,1,10,0,4
n4346,4,8,1,1,12,1,4
g1365,4,7,5,13,13,1,1
n3012,6,15,3,7,6,3,6
n4343,4,4,1,1,3,0,2
n3013,2,8,3,3,14,0,3
n4344,4,8,1,1,12,1,4
n3010,2,2,1,1,8,0,0
n4341,4,8,1,1,12,1,4
n3011,2,10,2,3,31,1,5
n4342,4,8,1,1,14,1,3
n4340,4,8,1,1,15,1,4
n3018,2,2,1,1,10,0,0
n4349,4,7,3,4,11,1,1
n3019,2,10,2,3,31,1,5
n3016,4,10,1,1,11,0,4
n4347,4,8,1,1,12,1,3
n3017,3,9,1,1,9,0,4
n4348,4,8,1,1,10,1,4
g30566,4,8,1,3,13,1,3
g29580,2,3,1,3,35,0,1
g1372,4,6,3,7,9,1,1
g1378,4,6,2,3,9,1,1
n3003,2,10,2,3,31,1,5
n4334,4,8,1,1,12,1,3
n3004,6,15,3,7,10,3,6
n4335,4,8,1,1,10,1,3
g5738,4,4,6,34,1,1,1
n3001,3,9,1,1,11,0,4
n4332,4,8,2,3,17,1,1
n3002,2,2,1,1,12,0,0
n4333,4,8,2,2,10,1,1
n4330,4,6,3,5,10,1,1
n3000,4,10,1,1,12,0,4
n4331,4,8,2,2,22,1,1
n3009,3,9,1,1,7,0,4
n3007,5,14,1,1,8,0,4
n4338,4,8,1,1,14,1,4
n3008,4,10,1,1,12,0,4
n4339,4,8,1,1,15,1,4
n3005,2,8,3,3,12,0,3
n4336,4,8,1,1,12,1,4
g29579,2,3,1,3,35,0,1
n3006,2,9,1,3,9,0,0
n4337,4,8,1,1,10,1,4
n4360,4,8,3,8,11,1,4
g2673,4,8,3,5,8,1,3
g2670,4,8,3,7,6,1,3
g1345,4,8,3,10,5,1,4
n3036,2,2,1,3,13,0,0
n4367,4,1,14,14,10,0,1
g1346,4,6,3,9,9,1,1
g2676,4,8,3,5,10,1,3
n3037,3,9,1,3,10,0,6
n4368,4,5,14,14,10,1,2
n3034,4,10,4,6,31,1,3
n4365,4,7,19,26,3,1,5
