Netlist,LOFi1,LOFi2
n5716,4,10
n5715,4,9
n5714,4,8
n5713,4,8
n5712,4,8
n5711,4,8
n5719,4,6
g6303,4,10
g6307,4,6
n5707,4,10
n5706,4,10
n5705,4,8
n5704,4,8
n5703,4,8
n5702,4,8
n5701,4,8
n5700,4,8
n5709,4,8
n5708,4,9
g17404,4,8
g17400,4,8
n4400,3,5
n5732,4,9
n4401,3,6
n5731,4,10
n5730,4,10
n4408,3,12
n4409,3,12
n5739,4,4
n4406,4,12
n5738,4,8
n4407,2,6
n5737,4,8
n4404,5,15
n5736,4,8
n4405,5,13
n5735,4,8
n4402,2,4
n5734,4,8
n4403,3,10
n5733,4,8
n5721,4,6
n5720,4,6
n5729,4,8
n5728,4,10
n5727,4,6
n5726,4,8
n5725,4,10
n5724,4,10
n5723,4,6
n5722,4,2
n4301,2,5
n5633,4,8
n4302,4,12
n5632,4,8
n5631,4,8
n4300,2,5
n5630,4,10
n4309,4,12
n4307,2,8
n5639,4,7
n4308,6,24
n5638,4,10
n4305,3,12
n5637,4,8
n4306,4,14
n5636,4,8
n4303,2,8
n5635,4,7
n4304,2,8
n5634,4,10
n5622,4,8
n5621,4,9
n5620,4,5
n5629,4,10
n5628,4,8
n5627,4,7
n5626,4,8
n5625,4,8
n5624,4,8
n5623,4,7
g1384,4,10
g1389,4,10
n4323,2,5
n5655,4,8
n4324,4,12
n5654,4,8
n4321,3,12
n5653,4,8
n4322,2,5
n5652,4,8
n5651,4,8
n4320,2,5
n5650,4,8
n4329,2,4
n4327,2,6
n5659,4,8
n4328,2,6
n5658,4,4
n4325,2,8
n5657,4,10
n4326,2,8
n5656,4,6
g1395,4,8
n4312,3,12
n5644,4,8
n4313,4,15
n5643,4,8
n4310,2,8
n5642,4,8
n4311,2,5
n5641,4,8
n5640,4,10
n4318,2,9
n4319,5,16
n5649,4,8
n4316,2,5
n5648,4,8
n4317,3,12
n5647,4,8
n4314,3,12
n5646,4,8
n4315,3,6
n5645,4,8
g30560,6,14
g30561,6,14
g30562,6,14
g31894,5,9
g1361,4,10
g30563,6,12
g31895,3,6
g1367,4,10
n3014,3,6
n4345,2,6
n5677,4,10
n3015,4,7
n4346,2,3
n5676,4,6
g2697,4,10
n3012,3,12
n4343,5,13
n5675,4,10
n3013,3,12
n4344,2,4
n5674,4,10
n3010,3,5
n4341,2,7
n5673,4,10
n3011,3,5
n4342,2,7
n5672,4,10
n5671,4,8
g17580,4,8
n4340,3,9
n5670,4,8
n3018,3,9
n4349,4,9
n3019,2,8
n3016,3,9
n4347,2,6
n5679,4,10
n3017,2,8
n4348,2,4
n5678,4,10
g31896,3,6
g31897,3,6
g31898,6,12
g31899,6,13
g30550,6,15
g30551,6,15
g30552,6,15
g1373,4,10
g30553,6,15
n3003,2,5
n4334,3,6
n5666,4,8
g1379,4,8
n3004,2,8
n4335,4,9
n5665,4,8
n3001,3,9
n4332,2,6
n5664,4,8
n3002,2,6
n4333,2,5
n5663,4,4
n4330,2,6
n5662,4,8
n3000,3,9
n4331,2,3
n5661,4,8
n5660,4,8
n3009,4,5
n3007,2,4
n4338,3,6
n3008,2,2
n4339,4,11
n5669,4,10
n3005,2,4
n4336,2,8
n5668,4,8
n3006,2,4
n4337,2,2
n5667,4,8
g30554,6,15
g30555,6,15
g30556,6,15
g30557,6,15
g30558,6,15
g30559,6,15
n5691,4,8
n4360,2,6
n5690,4,8
g2671,4,9
g1345,4,10
n3036,3,9
n4367,2,2
n5699,4,8
n3037,2,8
n4368,3,6
n5698,4,8
g2675,4,4
n3034,3,6
n4365,3,6
n5697,4,8
n3035,4,7
n4366,2,8
n5696,4,4
n3032,2,3
n4363,2,4
n5695,4,8
n3033,2,6
n4364,4,9
n5694,4,8
n3030,2,2
n4361,2,3
n5693,4,8
n3031,2,7
n4362,2,6
n5692,4,8
n3038,3,8
n4369,4,11
n3039,2,8
n5680,4,10
g2681,4,8
g1351,4,8
n3025,4,8
n4356,2,7
n5688,4,8
n3026,3,7
n4357,2,7
n5687,4,8
n3023,2,6
n4354,4,11
n5686,4,8
n3024,3,4
n4355,3,9
n5685,4,8
n3021,2,7
n4352,2,2
n5684,4,8
n3022,2,2
n4353,3,6
n5683,4,8
n4350,3,6
n5682,4,8
g2689,4,8
n3020,2,4
n4351,2,8
n5681,4,10
n3029,2,8
n3027,2,7
n4358,5,13
n3028,2,8
n4359,2,4
n5689,4,6
n3050,2,7
n4381,5,15
n3051,2,2
n4382,5,13
n4380,3,10
n3058,2,7
n4389,3,5
n3059,2,2
n3056,2,8
n4387,2,6
g2652,4,8
n3057,2,4
n4388,2,7
n3054,3,9
n4385,3,12
n3055,2,8
n4386,3,12
g2657,4,8
n3052,3,6
n4383,4,12
n3053,4,7
n4384,2,6
g11447,4,8
n4370,3,9
n3040,2,4
n4371,2,7
g2661,4,8
g10122,4,8
g3990,4,8
n3047,3,8
n4378,3,6
n3048,2,8
n4379,2,4
n3045,3,9
n4376,2,6
g1333,4,8
n3046,2,8
n4377,3,5
n3043,3,6
n4374,2,5
g1339,4,7
n3044,4,7
n4375,2,3
n3041,2,7
n4372,2,7
n3042,2,2
n4373,5,13
n3049,2,4
n3072,2,2
n3073,2,7
n3070,2,8
n3071,2,8
n3078,2,8
g3961,4,10
g1300,4,8
n3079,3,8
n3076,4,7
g1306,4,8
n3077,3,9
n3074,2,3
g3965,4,10
n3075,3,6
g2638,4,8
n3061,2,6
n4392,3,10
n3062,2,6
n4393,5,15
n4390,3,6
n3060,2,5
n4391,2,4
g1312,4,6
n3069,2,7
g2643,4,10
n3067,4,8
n4398,3,12
n3068,3,7
n4399,2,6
g2648,4,8
n3065,3,7
n4396,2,6
n3066,3,4
n4397,3,12
n3063,2,5
n4394,5,13
n3064,2,4
n4395,4,12
n3094,2,5
n3095,2,5
n3092,2,7
n3093,2,2
n3090,2,8
n3091,2,4
g2610,4,9
g3941,4,10
n3098,2,3
g3945,4,10
n3099,3,9
n3096,2,3
n3097,2,6
g2619,4,9
n3083,2,2
n3084,2,5
n3081,2,4
n3082,2,7
n3080,2,8
g3953,4,6
n3089,2,8
g3957,4,6
n3087,5,12
n3088,3,8
n3085,2,8
n3086,3,6
g2629,4,10
g11418,4,8
g6199,4,8
g3921,4,10
g3925,4,10
g3929,4,10
g3933,4,10
g2606,4,9
g3937,4,10
DFF_672_n1,4,6
g6299,4,10
g34040,6,16
g34041,4,8
g34035,2,6
g34036,2,6
g34033,4,8
g34034,2,6
g34039,6,16
g34037,6,13
g34038,6,14
g34031,6,16
g34032,6,16
g34030,6,14
g2704,4,10
g6279,4,10
g6275,4,10
g6283,4,6
g6287,4,6
g6295,4,10
g6291,4,10
g34002,4,10
g34003,4,10
g34000,6,13
g34001,4,10
g6259,4,10
g34006,6,15
g34007,6,13
g34004,4,10
g6255,4,10
g34005,4,10
g34008,4,10
g34009,4,10
g6267,4,10
g6263,4,10
g6271,4,10
g11388,4,8
g34024,3,10
g34025,2,6
g6235,4,10
g34022,5,14
g34023,2,6
g34028,2,6
g34029,6,13
g34026,2,6
g34027,2,6
g34020,6,15
g6239,4,10
g34021,6,13
g34013,6,15
g34014,6,13
g6247,4,10
g34011,4,10
g34012,4,10
g34017,4,10
g34018,4,10
g34015,4,10
g6243,4,10
g34016,4,10
g34010,4,10
g34019,4,10
g6251,4,10
g6215,4,8
g7540,4,8
g8870,4,8
g30520,6,14
g6219,4,8
g30529,6,15
g30521,6,12
g30522,2,7
g30523,6,14
g30524,6,14
g30525,6,14
g30526,6,14
g30527,6,15
g30528,6,15
g18881,0,0
g6227,4,8
g30518,6,14
g30519,6,14
g30510,6,15
g30511,6,15
g30512,6,15
g30513,6,15
g30514,6,15
g30515,6,15
g30516,6,15
g30517,6,15
g31870,6,14
g30540,6,14
g31871,6,15
g30541,6,14
g31872,4,12
g30542,6,12
g30543,2,7
g30544,6,14
g30545,6,14
g30546,6,14
g30547,6,14
g30548,6,15
g30549,6,15
g6203,4,6
g31860,1,2
g31861,0,0
g30530,6,15
g17577,4,4
g31862,1,2
g30531,6,15
g6209,4,8
g31863,1,2
g30532,6,15
g30533,6,15
g31864,6,15
g30534,6,15
g31865,4,11
g31866,6,15
g30535,6,15
g31867,6,15
g30536,6,15
g31868,6,14
g30537,6,15
g31869,6,15
g30538,6,15
g30539,6,14
g8839,4,8
g17519,4,8
n5611,4,10
n5610,4,10
DFF_1322_n1,4,8
g30507,6,15
n5619,4,9
g30508,6,15
n5618,4,8
g30509,6,15
n5617,4,8
n5616,4,8
n5615,4,6
n5614,4,8
n5613,4,4
n5612,4,10
g30500,6,12
g30501,2,7
g30502,6,14
g30503,6,14
g30504,6,14
g30505,6,14
g30506,6,15
n5600,4,9
n5608,4,10
n5607,4,9
n5606,4,8
n5605,4,8
n5604,4,10
n5603,4,8
n5602,4,9
n5601,4,10
n5609,4,10
n3333,3,8
n4664,3,9
n5996,4,8
n3334,5,20
n4665,3,9
n5995,2,8
n3331,4,12
n4662,4,16
n5994,4,8
n3332,5,15
n4663,3,9
n5993,2,8
n4660,4,12
n5992,4,8
n3330,6,20
n4661,4,16
n5991,2,8
n5990,4,4
n3339,6,21
n3337,3,9
n4668,3,9
n2004,1,2
n3338,3,9
n4669,2,6
n5999,2,5
n3335,5,19
n4666,3,9
n5998,4,8
n3336,6,15
n4667,3,9
n5997,2,8
g6500,4,10
n3322,4,12
n4653,4,16
n5985,2,8
n3323,6,20
n4654,4,12
n5984,2,5
n3320,2,3
n4651,5,16
n5983,4,10
g6509,4,9
n3321,2,2
n4652,4,16
n5982,2,5
n5981,4,6
n4650,5,16
n5980,3,6
g6505,4,8
n3328,6,21
n4659,2,5
n3329,4,12
n3326,5,16
n4657,4,16
n5989,2,8
n3327,6,18
n4658,2,8
n5988,4,8
n3324,4,13
n4655,2,5
n5987,2,8
n3325,6,17
n4656,4,16
n5986,4,8
g12832,4,7
n3355,4,14
n4686,4,12
n3356,5,12
n4687,2,8
n3353,4,12
n4684,2,6
n3354,6,19
n4685,5,14
n3351,6,19
n4682,2,8
n3352,3,9
n4683,3,7
n4680,5,14
n3350,4,16
n4681,4,12
n3359,6,19
n3357,2,11
n4688,3,7
n3358,5,19
n4689,2,6
g12833,1,0
CK,0,0
n3344,2,4
n4675,5,14
n2011,1,2
n3345,3,6
n4676,4,12
n3342,4,9
n4673,3,7
n3343,5,15
n4674,2,7
n3340,4,12
n4671,2,6
n3341,6,20
n4672,3,12
n4670,3,12
n3348,5,18
n4679,2,6
n3349,6,17
n3346,5,19
n4677,2,8
n3347,2,11
n4678,3,7
n3370,5,19
n3377,5,19
n3378,2,12
n3375,4,12
n3376,5,12
n3373,4,12
n3374,6,19
n3371,6,19
n2042,1,2
n3372,6,19
n2049,1,3
n2048,1,2
n3379,6,19
n2034,1,2
n3366,6,19
n4697,3,8
n3367,4,12
n4698,2,6
n3364,2,3
n4695,5,14
n2035,1,2
n3365,4,12
n4696,4,12
n3362,2,8
n4693,3,7
n3363,2,4
n4694,2,7
n3360,5,18
n4691,4,12
n3361,6,15
n4692,2,6
n3368,5,15
n4699,3,7
n3369,5,19
n3391,3,11
n3392,4,15
n3390,6,15
n3399,2,3
n3397,3,12
n3398,5,10
n2063,1,2
n3395,2,8
n3396,3,12
g19,4,8
n3393,3,9
n3394,2,8
n3380,6,9
n3381,2,8
g22,4,5
n3386,4,12
g25,4,8
n3387,5,15
g28,4,8
n3384,4,12
n3385,6,19
n3382,4,14
n3383,6,19
g34201,3,7
g1682,4,10
g31,4,8
g35,0,0
g1687,4,8
g37,4,7
g36,0,0
n2072,1,2
g44,0,0
g1691,4,8
g43,4,5
n2077,1,2
g1696,4,8
n2076,1,2
n2075,1,3
g34221,2,5
g53,0,0
g55,4,5
g54,0,0
g57,0,0
g1664,4,9
g56,0,0
g2994,4,10
g1668,4,10
g2999,4,9
g64,0,0
g63,4,6
g1677,4,8
g71,4,8
g73,0,0
g72,0,0
g2970,4,10
g2975,4,3
g84,0,0
g2984,4,2
g1657,4,9
g2988,4,10
g91,0,0
g90,0,0
g92,0,0
g99,0,0
g1620,4,8
g2950,4,10
g1624,4,9
g2955,4,7
g1632,4,8
g1636,4,10
g2965,4,8
DFF_961_n1,4,4
g1720,4,8
g1728,4,7
g1736,4,8
g17604,4,8
g1700,4,8
g17607,4,8
g1710,4,5
g31904,5,10
g1714,4,8
g31900,4,9
g31901,5,9
g31902,6,14
g31903,5,10
g5297,4,8
g6597,4,10
g5268,4,10
g6593,4,10
g5264,4,10
g5272,4,10
g5244,4,10
g5240,4,6
g6573,4,8
g5248,4,10
n5916,1,0
n5914,1,0
n5912,1,0
n5910,1,0
g6581,4,6
n5918,1,0
g5256,4,10
g6589,4,10
g17678,4,8
g5252,4,10
g17674,4,8
n5904,1,0
n5902,1,0
n5900,1,0
g5260,4,10
n5908,1,0
n5906,1,0
g6555,4,8
g5224,4,10
g17688,4,8
g5220,4,10
n5930,1,0
g17685,4,8
n4606,4,16
n5938,1,0
n4607,4,16
n4604,5,16
n5936,1,0
n4605,5,16
n4602,3,9
n5934,1,0
n4603,4,18
n4600,2,8
n5932,1,0
n4601,3,9
n4608,4,12
n4609,2,5
g6565,4,8
g5236,4,10
g6561,4,8
g5232,4,10
n5926,1,0
n5924,1,0
n5922,1,0
n5920,1,0
n5928,1,0
g5200,4,10
g6533,4,8
g5208,4,10
n4620,3,9
n5952,1,0
n4621,3,9
n5950,1,0
g5204,4,10
g6537,4,9
n4628,5,16
n4629,4,16
n4626,4,18
n5958,1,0
n4627,5,16
n4624,3,9
n5956,1,0
n4625,3,9
n4622,3,9
n5954,1,0
n4623,2,8
g17639,4,8
g5212,4,10
g6545,4,8
g6541,4,4
n4610,4,16
n5940,1,0
g5216,4,10
g6549,4,6
n4617,3,9
n4618,3,9
n5948,1,0
n4615,4,16
n4616,4,16
n5946,1,0
n4613,2,5
n4614,4,12
n5944,1,0
n4611,4,16
n4612,2,8
n5942,1,0
n4619,3,9
g17649,4,8
g17646,4,8
n3311,3,9
n4642,3,9
n5974,3,8
n3312,2,6
n4643,3,9
n5973,3,8
g6519,4,8
n4640,3,9
n5972,3,8
n3310,5,17
n4641,3,9
n5971,3,8
g6513,4,8
n5970,3,8
n3319,3,6
n3317,2,3
n4648,3,9
n3318,3,6
n4649,4,18
n5979,5,11
n3315,2,5
n4646,2,8
n5978,2,5
n3316,4,14
n4647,3,9
n5977,2,5
n3313,4,12
n4644,3,9
n5976,5,16
n3314,2,5
n4645,3,9
n5975,5,10
g6523,4,8
n3300,4,12
n4631,4,12
n5963,4,8
n3301,6,20
n4632,2,5
n5962,1,0
n5961,5,14
n4630,4,16
n5960,5,14
g6527,4,8
n3308,5,16
n4639,4,16
n3309,4,8
n3306,2,6
n4637,4,12
n5969,3,8
n3307,2,7
n4638,4,16
n5968,3,8
n3304,3,6
n4635,2,8
n5967,3,8
n3305,2,2
n4636,2,5
n5966,2,8
n3302,4,12
n4633,4,16
n5965,3,7
n3303,6,17
n4634,4,16
n5964,4,16
n3212,4,7
n4543,3,6
n5875,4,8
n3213,4,9
n4544,2,5
n5874,4,8
n3210,2,4
n4541,2,3
n5873,4,8
n3211,4,10
n4542,3,10
n5872,4,8
n5871,4,8
n4540,3,7
n5870,4,8
n3218,3,9
n4549,3,12
n3219,4,10
n3216,4,15
n4547,3,11
n5879,4,10
n3217,2,8
n4548,4,12
n5878,4,8
n3214,3,9
n4545,2,2
n5877,4,8
n3215,2,8
n4546,2,7
n5876,4,8
n3201,3,10
n4532,4,12
n5864,4,8
n3202,3,12
n4533,4,12
n5863,4,8
n4530,2,5
n5862,4,8
n3200,4,8
n4531,4,16
n5861,4,8
n5860,4,8
n3209,3,8
n3207,2,7
n4538,2,7
n3208,3,10
n4539,2,5
n5869,4,8
n3205,2,4
n4536,2,6
n5868,4,8
n3206,3,10
n4537,2,7
n5867,4,10
n3203,2,3
n4534,2,8
n5866,4,8
n3204,2,6
n4535,2,8
n5865,4,8
n3234,3,9
n4565,4,16
n3235,2,8
n4566,2,8
n5896,1,0
n3232,4,7
n4563,2,5
n3233,4,9
n4564,4,16
n5894,1,0
n3230,2,4
n4561,4,16
n5893,4,6
n3231,4,10
n4562,4,12
n5892,4,8
n5891,4,8
n4560,4,16
n5890,4,4
n3238,4,10
n4569,4,16
n3239,4,6
n3236,2,8
n4567,2,5
n3237,3,9
n4568,4,12
n5898,1,0
n3223,2,3
n4554,2,8
n5886,4,9
n3224,2,6
n4555,3,9
n5885,4,9
n3221,3,10
n5884,4,9
n3222,3,12
n5883,4,9
n4550,2,8
n5882,4,9
n3220,4,8
n4551,2,8
n5881,4,6
n5880,4,10
n3229,3,8
g23612,0,0
n3227,2,7
n4558,5,16
n3228,3,10
n4559,5,16
n5889,4,9
n3225,2,4
n4556,3,9
n5888,4,9
n3226,3,10
n4557,4,18
n5887,4,9
g10306,4,7
n4580,4,18
n3256,3,4
n4587,4,16
n3257,2,8
n4588,4,16
n3254,2,6
n4585,4,12
n3255,2,4
n4586,2,5
n3252,3,9
n4583,4,16
n3253,2,8
n4584,4,16
n3250,2,2
n4581,5,16
n3251,4,9
n4582,5,16
n3258,4,11
n4589,2,8
n3259,3,9
n3245,2,7
n4576,3,9
n3246,3,10
n4577,2,8
n3243,2,5
n4574,3,9
n3244,2,4
n4575,3,9
n3241,2,3
n4572,3,9
n3242,2,3
n4573,3,9
g5,0,0
n4570,4,16
g6,4,8
n3240,2,5
n4571,3,9
g8,4,8
g9,4,8
n3249,4,10
n3247,3,8
n4578,3,9
n3248,2,4
n4579,3,9
n3270,2,6
n3271,2,6
n3278,2,6
n3279,3,9
g1585,4,8
n3276,2,7
n3277,2,6
n3274,2,6
n3275,2,5
g1589,4,7
n3272,2,6
n3273,2,6
g12919,4,8
n4590,2,5
n3260,2,3
n4591,4,12
g1592,4,7
n3267,3,9
n4598,3,9
n3268,2,3
n4599,3,9
n3265,2,8
n4596,3,9
n3266,4,11
n4597,3,9
n3263,2,4
n4594,3,9
n3264,3,4
n4595,3,9
n3261,2,5
n4592,4,16
n3262,2,6
n4593,4,16
n3269,2,5
g12923,4,8
n3292,2,5
n3293,2,8
n3290,4,8
n3291,2,8
g2890,4,7
n3298,2,5
g1564,4,6
n3299,2,5
n3296,2,5
n3297,4,8
n3294,2,5
g2898,4,7
n3295,2,5
n3281,2,7
n3282,2,4
n3280,2,6
n3289,2,5
n3287,2,5
n3288,2,8
n3285,5,12
n3286,2,8
n3283,4,18
g1579,4,8
n3284,5,12
g33011,5,12
g33010,5,14
g33013,5,14
g33012,5,13
g33015,5,12
g33014,5,14
g33017,5,14
g33016,5,13
g2873,4,10
g1542,4,8
g2878,4,7
g1548,4,2
g23683,4,8
g33019,5,10
g33018,5,14
g33000,5,13
g33002,5,14
g33001,5,14
g2882,4,7
g33004,5,13
g33003,5,12
g33006,5,14
g33005,5,14
g2886,4,7
g1554,4,8
DFF_150_n1,4,8
g1559,4,8
g33008,5,13
g33007,5,12
g33009,5,14
g1521,4,8
g2852,4,10
g2856,4,7
g2860,4,10
g1532,4,8
g2864,4,7
g2868,4,10
g1536,4,4
g2831,4,7
g1500,4,8
g2834,4,7
g2841,4,8
g1514,4,7
g2844,4,10
g23652,0,0
g2848,4,7
g11678,4,8
n9312,4,8
n9314,4,8
g1600,4,8
g2932,4,8
g1604,4,10
g2936,4,10
g1608,4,8
g17715,4,8
n9302,4,5
n9303,4,8
g17711,4,8
n9306,4,8
g2941,4,3
g1612,4,8
g2946,4,8
n9336,4,8
g17722,4,8
g5188,4,4
g2912,4,10
n9332,4,8
g2917,4,7
n9322,4,8
n9324,4,8
n9325,4,8
g5196,4,10
n9327,4,8
g2922,4,10
g2927,4,7
g17739,4,8
n9357,4,8
g6494,4,8
g5164,4,6
g34249,6,17
g34240,0,0
n9351,4,8
n9352,4,8
g5170,4,4
g34233,0,0
g34234,0,0
g34232,0,0
g34237,0,0
n9348,4,6
g34238,0,0
g34235,0,0
g5176,4,8
g34236,0,0
n9340,4,10
g2902,4,7
g34239,0,0
g5180,4,8
g34266,4,10
g34267,4,10
g34264,4,10
g34265,4,13
g5142,4,4
g34268,4,10
g34269,4,10
g34262,4,10
g34263,4,10
g34260,4,13
g34261,4,10
g34255,4,10
g5156,4,8
g34256,4,9
n9367,4,8
g34253,2,4
g34254,4,10
g34259,4,7
g5152,4,9
g34257,4,10
g34258,4,10
g34251,6,15
g34252,6,15
g34250,6,17
g5160,4,8
g5124,4,9
g5120,4,8
g17787,4,8
g5134,4,8
g5138,4,8
test_so100,0,0
n5817,4,8
n5816,4,8
n5815,4,8
n5814,4,8
n5813,4,8
n5812,4,8
